a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,q17
1,1,dossier,null,mp_alien_armory,,EF_DO_01_TITLE,dossier_beacon_1,sas_img_01,ef_dos_mov_01,EF_DO_CAP_SUB_01,EF_DO_CAP_FILE_01,EF_DO_CAP_RED1_01,EF_DO_CAP_RED2_01,EF_DO_CAP_RED3_01,dossier_beacon_1,,0
2,2,dossier,null,mp_alien_armory,,EF_DO_02_TITLE,dossier_beacon_2,nf_img_01,ef_dos_mov_02,EF_DO_CAP_SUB_02,EF_DO_CAP_FILE_02,EF_DO_CAP_RED1_02,EF_DO_CAP_RED2_02,EF_DO_CAP_RED3_02,dossier_beacon_2,,0
3,3,nightfall,EF_NF_AUDIO_CAP_01,mp_alien_armory,EF_NF_LOCKED_01,EF_NF_01_TITLE,nightfall_beacon_1,nf_img_01,ef_nf_mov_01,EF_NF_CAP_SUB_01,EF_NF_CAP_FILE,EF_NF_CAP_RED1_01,EF_NF_CAP_RED2_01,EF_NF_CAP_RED3_01,intel_arm_night_1_snip,ALIEN_PILLAGE_INTEL_NIGHTFALL_TITLE_1_1,0
4,4,nightfall,EF_NF_AUDIO_CAP_02,mp_alien_armory,EF_NF_LOCKED_02,EF_NF_02_TITLE,nightfall_beacon_2,nf_img_02,ef_nf_mov_02,EF_NF_CAP_SUB_02,EF_NF_CAP_FILE,EF_NF_CAP_RED1_02,EF_NF_CAP_RED2_02,EF_NF_CAP_RED3_02,intel_arm_night_2_snip,ALIEN_PILLAGE_INTEL_NIGHTFALL_TITLE_1_2,0
5,5,nightfall,EF_NF_AUDIO_CAP_03,mp_alien_armory,EF_NF_LOCKED_03,EF_NF_03_TITLE,nightfall_beacon_3,nf_img_03,ef_nf_mov_03,EF_NF_CAP_SUB_03,EF_NF_CAP_FILE,EF_NF_CAP_RED1_03,EF_NF_CAP_RED2_03,EF_NF_CAP_RED3_03,intel_arm_night_3_snip,ALIEN_PILLAGE_INTEL_NIGHTFALL_TITLE_1_3,0
6,6,nightfall,EF_NF_AUDIO_CAP_04,mp_alien_armory,EF_NF_LOCKED_04,EF_NF_04_TITLE,nightfall_beacon_4,nf_img_04,ef_nf_mov_04,EF_NF_CAP_SUB_04,EF_NF_CAP_FILE,EF_NF_CAP_RED1_04,EF_NF_CAP_RED2_04,EF_NF_CAP_RED3_04,intel_arm_night_4_snip,ALIEN_PILLAGE_INTEL_NIGHTFALL_TITLE_1_4,0
7,7,nightfall,EF_NF_AUDIO_CAP_05,mp_alien_armory,EF_NF_LOCKED_05,EF_NF_05_TITLE,nightfall_beacon_5,nf_img_05,ef_nf_mov_05,EF_NF_CAP_SUB_05,EF_NF_CAP_FILE,EF_NF_CAP_RED1_05,EF_NF_CAP_RED2_05,EF_NF_CAP_RED3_05,intel_arm_night_5_snip,ALIEN_PILLAGE_INTEL_NIGHTFALL_TITLE_1_5,0
8,8,nightfall,EF_NF_AUDIO_CAP_06,mp_alien_armory,EF_NF_LOCKED_06,EF_NF_06_TITLE,nightfall_beacon_6,nf_img_06,ef_nf_mov_06,EF_NF_CAP_SUB_06,EF_NF_CAP_FILE,EF_NF_CAP_RED1_06,EF_NF_CAP_RED2_06,EF_NF_CAP_RED3_06,intel_arm_night_7_snip,ALIEN_PILLAGE_INTEL_NIGHTFALL_TITLE_1_7,0
9,9,intercept,EF_IN_AUDIO_CAP_01,mp_alien_armory,EF_IN_LOCKED_01,EF_IN_01_TITLE,intercept_beacon_1,sas_img_01,ef_in_mov_01,EF_IN_CAP_SUB_01,EF_IN_CAP_FILE,EF_IN_CAP_RED1_01,EF_IN_CAP_RED2_01,EF_IN_CAP_RED3_01,intel_arm_1_snip,ALIEN_PILLAGE_INTEL_INTERCEPT_TITLE_1_1,0
10,10,intercept,EF_IN_AUDIO_CAP_02,mp_alien_armory,EF_IN_LOCKED_02,EF_IN_02_TITLE,intercept_beacon_2,sas_img_02,ef_in_mov_02,EF_IN_CAP_SUB_02,EF_IN_CAP_FILE,EF_IN_CAP_RED1_02,EF_IN_CAP_RED2_02,EF_IN_CAP_RED3_02,intel_arm_2_snip,ALIEN_PILLAGE_INTEL_INTERCEPT_TITLE_1_2,0
11,11,intercept,EF_IN_AUDIO_CAP_03,mp_alien_armory,EF_IN_LOCKED_03,EF_IN_03_TITLE,intercept_beacon_3,sas_img_03,ef_in_mov_03,EF_IN_CAP_SUB_03,EF_IN_CAP_FILE,EF_IN_CAP_RED1_03,EF_IN_CAP_RED2_03,EF_IN_CAP_RED3_03,intel_arm_3_snip,ALIEN_PILLAGE_INTEL_INTERCEPT_TITLE_1_3,0
12,12,intercept,EF_IN_AUDIO_CAP_04,mp_alien_armory,EF_IN_LOCKED_04,EF_IN_04_TITLE,intercept_beacon_4,sas_img_04,ef_in_mov_04,EF_IN_CAP_SUB_04,EF_IN_CAP_FILE,EF_IN_CAP_RED1_04,EF_IN_CAP_RED2_04,EF_IN_CAP_RED3_04,intel_arm_4_snip,ALIEN_PILLAGE_INTEL_INTERCEPT_TITLE_1_4,0
13,13,intercept,EF_IN_AUDIO_CAP_05,mp_alien_armory,EF_IN_LOCKED_05,EF_IN_05_TITLE,intercept_beacon_5,sas_img_05,ef_in_mov_05,EF_IN_CAP_SUB_05,EF_IN_CAP_FILE,EF_IN_CAP_RED1_05,EF_IN_CAP_RED2_05,EF_IN_CAP_RED3_05,intel_arm_6_snip,ALIEN_PILLAGE_INTEL_INTERCEPT_TITLE_1_6,0
