a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,,,,,
maxprestige,15,,,,,,,,,,,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
prestigediscount,10,,,,,,,,,,,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
0,zm_icon_rank_1,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
1,zm_icon_rank_1,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
2,zm_icon_rank_1,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
3,zm_icon_rank_2,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
4,zm_icon_rank_2,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
5,zm_icon_rank_3,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
6,zm_icon_rank_3,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
7,zm_icon_rank_4,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
8,zm_icon_rank_4,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
9,zm_icon_rank_5,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
10,zm_icon_rank_5,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
11,zm_icon_rank_6,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
12,zm_icon_rank_6,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
13,zm_icon_rank_7,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
14,zm_icon_rank_7,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,rank_alienprestige11,rank_alienprestige12,rank_alienprestige13,rank_alienprestige14,rank_alienprestige15
