a0,b1,c2,d3,e4,f5,g6,h7,i8
1,dpad_team_explosives,0,ability,ALIENS_TEAM_EXPLOSIVES,alien_icon_mortar,,,
2,dpad_team_ammo,0,ability,ALIENS_TEAM_AMMO,alien_icon_ammo,,,
3,perk_bullet_damage,0,perk,ALIENS_PERK_BULLET_DAMAGE,alien_perk_weapon_specialist,,,
4,perk_pistol_p226,0,perk,ALIENS_PERK_PISTOL_P226,alien_pistol_p226,,,
5,dpad_ims,0,ability,ALIENS_IMS,alien_icon_ims,,,
6,dpad_minigun_turret,0,ability,ALIENS_MINIGUN_TURRET,alien_icon_manned_turret,,,
7,dpad_team_adrenaline,1,ability,ALIENS_TEAM_ADRENALINE,alien_icon_trap,,,
8,patch_alien_1,2,patch,ALIEN_REWARDS_PATCH_1,alien_patch_1,,,
9,dpad_team_ammo_stun,3,ability,ALIENS_TEAM_AMMO_SPECIAL,alien_icon_ammo_stun,,,
10,perk_rigger,4,perk,ALIENS_PERK_RIGGER,alien_perk_engineer,,,
11,playercard_alien_1,4,playercard,ALIEN_REWARDS_PLAYERCARD_1,alien_playercard_1,,,
12,dpad_gl_sentry,5,ability,ALIENS_GLSENTRY,alien_icon_grenade_turret,,,
13,perk_health,6,perk,ALIENS_PERK_HEALTH,alien_perk_tank,,,
14,patch_alien_2,6,patch,ALIEN_REWARDS_PATCH_2,alien_patch_2,,,
15,dpad_team_armor,7,ability,ALIENS_TEAM_ARMOR,alien_icon_armor,,,
16,dpad_mortar,8,ability,ALIENS_MORTAR,alien_icon_airstrike,,,
17,perk_pistol_magnum,9,perk,ALIENS_PERK_PISTOL_MAGNUM,alien_pistol_magnum,,,
18,playercard_alien_2,9,playercard,ALIEN_REWARDS_PLAYERCARD_2,alien_playercard_2,,,
19,perk_medic,10,perk,ALIENS_PERK_MEDIC,alien_perk_medic,,,
20,patch_alien_3,11,patch,ALIEN_REWARDS_PATCH_3,alien_patch_3,,,
21,dpad_team_ammo_in,11,ability,ALIENS_TEAM_AMMO_SPECIAL_IN,alien_icon_ammo_incendiary,,,
22,perk_pistol_m9a1,12,perk,ALIENS_PERK_PISTOL_M9A1,alien_pistol_m9a1,,,
23,dpad_team_boost,13,ability,ALIENS_TEAM_BOOST,alien_icon_boost,,,
24,dpad_riotshield,14,ability,ALIENS_RIOTSHIELD,alien_icon_riot_shield,,,
25,perk_pistol_mp443,15,perk,ALIENS_PERK_PISTOL_MP443,alien_pistol_mp443,,,
26,dpad_team_randombox,16,ability,ALIENS_TEAM_RANDOMBOX,alien_icon_random_supply,,,
27,dpad_predator,17,ability,ALIENS_PREDATOR,alien_icon_predator_missle,,,
28,patch_alien_4,18,patch,ALIEN_REWARDS_PATCH_4,alien_patch_4,,,
29,dpad_team_ammo_explo,19,ability,ALIENS_TEAM_AMMO_SPECIAL_EXPLO,alien_icon_ammo_explosive,,,
30,playercard_alien_3,20,playercard,ALIEN_REWARDS_PLAYERCARD_3,alien_playercard_3,,,
31,dpad_sentry,21,ability,ALIENS_SENTRY_GUN,alien_icon_sentry,,,
32,dpad_war_machine,22,ability,ALIENS_WAR_MACHINE,alien_icon_war_machine,,,
33,playercard_alien_4,23,playercard,ALIEN_REWARDS_PLAYERCARD_4,alien_playercard_4,,,
34,dpad_team_ammo_ap,24,ability,ALIENS_TEAM_AMMO_SPECIAL_AP,alien_icon_ammo_piercing,,,
35,patch_alien_5,25,patch,ALIEN_REWARDS_PATCH_5,alien_patch_5,,,
36,playercard_alien_5,26,playercard,ALIEN_REWARDS_PLAYERCARD_5,alien_playercard_5,,,
37,dpad_backup_buddy,27,ability,ALIENS_DRONE_BACKUP,alien_icon_backup_uav,,,
38,dpad_death_machine,28,ability,ALIENS_DEATH_MACHINE,alien_icon_death_machine,,,
100,patch_alien_6,999,patch,ALIEN_REWARDS_PATCH_6,alien_patch_6,# Prestige 1st time,,
101,patch_alien_7,999,patch,ALIEN_REWARDS_PATCH_7,alien_patch_7,#Get on the chopper,,
102,patch_alien_8,999,patch,ALIEN_REWARDS_PATCH_8,alien_patch_8,#Escape on Chopper 10 times,,
103,playercard_alien_6,999,playercard,ALIEN_REWARDS_PLAYERCARD_6,alien_playercard_6,#Escape after  20 waves,,
104,patch_alien_9,999,patch,ALIEN_REWARDS_PATCH_9,alien_patch_9,#Escape after 50 waves,,
