a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20
0,# reference (ref string),goon,goon2,goon3,goon4,brute,brute2,brute3,brute4,minion,spitter,elite,leper,locust,seeder,mammoth,gargoyle,bomber,gargoyle_boss,elite_boss
10,# min cumulative pain threshold (amount),50,75,100,125,100,150,200,250,87.5,250,600,225,300,225,12000,100,350,20000,1000
11,# min cumulative pain buffer time ( amount ),2,3,4,5,2,3,4,5,2,5,2.5,2,2,2,2.5,2,2,10000,10
12,# attack accuracy (scale),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,# speed (scale),0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.1,1,0.95,1,1.2,1.5,1,1,1.1,1,0.95
14,# Model Scale (affects move rate),0.7,0.7,0.7,0.7,1,1,1,1,0.75,1,1.25,1,1,1.33,1.25,1,0.75,3,1
15,# XP reward (amount),250,250,250,250,250,250,250,250,100,300,500,250,250,300,500,250,100,10000,500
16,# attacker difficulty value (amount),2,2,2,2,5,5,5,5,0,0,5,1,5,0,5,5,0,5,5
17,# attacker priority value (amount),7,7,7,7,6,6,6,6,5,4,2,1,3,4,2,6,5,6,2
18,# jump cost (scale),3,3,3,3,2,1.5,1.25,1,2,1.25,2,1,0.5,5,4,5,1,3,20
19,# traverse cost (scale),100,100,100,100,0.8,0.8,0.8,0.8,0.8,1.5,2,0.8,2,1,2,3,3,3,2
20,# run cost (scale),5,5,5,5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1
21,# wall run cost (scale),1,1,1,1,1.2,1.2,1.2,1.2,.5,1.2,10,1.2,5,.2,10,100,100,100,100
22,# heavy damage threshold (amount),100,100,125,150,200,250,300,350,50,300,500,200,400,300,500,100,50,60000,2000
23,# pain interval (amount),5,5,7,7,5,5,7,7,2,1,1,2,5,2,1,3,2,10000,10
24,# emissive default,0.25,0.35,0.4,0.5,0.25,0.25,0.35,0.5,0.4,0.35,0.2,0,0.35,0.5,0.4,0.3,0.35,0.2,0.7
25,# emissive max,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.7,1,0.7,0.9,0.1,0.7,0.9,1,1,1,1,0.9
26,# weight scale,20,20,20,20,30,30,30,30,15,30,50,30,30,30,50,30,15,30,50
27,# view height,30,30,30,30,45,45,45,45,33,25,55,45,45,25,55,45,33,45,55
100,# Cloaking,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,# Spitting,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,# Leader (spawn cast),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
103,# Hives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,# Turrets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1000,loot_blood_small,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0
1001,loot_blood_med,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1002,loot_blood_large,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1003,loot_teeth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1004,loot_relic_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,loot_relic_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,swipe_min,6.7,6.7,6.7,6.7,13.4,13.4,13.4,13.4,8,8,20,0,33,0,20,13.4,8,13.4,20
2001,swipe_max,8.4,8.4,8.4,8.4,16.8,16.8,16.8,16.8,10,12,26.4,1,34,1,26.4,16.8,10,16.8,26.4
2002,leap_min,6.7,6.7,6.7,6.7,13.4,13.4,13.4,13.4,8,8,1,0,33,0,1,13.4,8,13.4,1
2003,leap_max,8.4,8.4,8.4,8.4,16.8,16.8,16.8,16.8,10,12,2,1,34,1,2,16.8,10,16.8,2
2004,wall_min,6.7,6.7,6.7,6.7,13.4,13.4,13.4,13.4,8,8,1,0,33,0,1,13.4,8,13.4,1
2005,wall_max,8.4,8.4,8.4,8.4,16.8,16.8,16.8,16.8,10,12,2,1,34,1,2,16.8,10,16.8,2
2006,charge_min,1,1,1,1,1,1,1,1,1,1,26.4,0,1,0,26.4,1,1,1,26.4
2007,charge_max,2,2,2,2,2,2,2,2,2,2,40,1,2,1,40,2,2,2,40
2008,explode_min,1,1,1,1,1,1,1,1,1,1,30,0,1,0,30,1,1,1,30
2009,explode_max,2,2,2,2,2,2,2,2,32,2,50,1,2,1,60,2,25,2,50
2010,slam_min,1,1,1,1,1,1,1,1,1,1,20,0,1,0,40,1,1,1,20
2011,slam_max,2,2,2,2,2,2,2,2,2,2,26.4,1,2,1,26.4,2,2,2,26.4
2012,synch_attack_min_per_second,20,20,20,20,40,40,40,40,3,3,12,0,40,0,12,50,3,50,12
2013,synch_attack_max_per_second,21,21,21,21,41,41,41,41,5,5,15,1,41,1,15,51,5,51,15
