a0,b1,c2,d3,e4,f5,g6,h7,i8
100,pistol_znrg,0,0,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,weapon_nrg_360,0,ALIENS_CATEGORY_PISTOL_TYPE
101,pistol_znrg_1,1000,1,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,weapon_nrg_360,1,ALIENS_CATEGORY_PISTOL_TYPE
102,pistol_znrg_2,1000,1,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,weapon_nrg_360,1,ALIENS_CATEGORY_PISTOL_TYPE
103,pistol_znrg_3,1000,2,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,weapon_nrg_360,1,ALIENS_CATEGORY_PISTOL_TYPE
104,pistol_znrg_4,1000,3,WEAPON_NRG,CP_LOADOUT_PISTOL_NRG_DESC,weapon_nrg_360,1,ALIENS_CATEGORY_PISTOL_TYPE
105,pistol_magnum,1000,0,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC,weapon_magnum_360,0,ALIENS_CATEGORY_PISTOL_TYPE
106,pistol_magnum_1,1000,1,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_1,weapon_magnum_360,1,ALIENS_CATEGORY_PISTOL_TYPE
107,pistol_magnum_2,1000,1,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_2,weapon_magnum_360,1,ALIENS_CATEGORY_PISTOL_TYPE
108,pistol_magnum_3,1000,2,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_4,weapon_magnum_360,1,ALIENS_CATEGORY_PISTOL_TYPE
109,pistol_magnum_4,1000,3,ALIENS_PERK_PISTOL_MAGNUM,ALIENS_PERK_PISTOL_MAGNUM_DESC_3,weapon_magnum_360,1,ALIENS_CATEGORY_PISTOL_TYPE
110,pistol_zg18,1000,0,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,weapon_g18_360,0,ALIENS_CATEGORY_PISTOL_TYPE
111,pistol_zg18_1,1000,1,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,weapon_g18_360,1,ALIENS_CATEGORY_PISTOL_TYPE
112,pistol_zg18_2,1000,1,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,weapon_g18_360,1,ALIENS_CATEGORY_PISTOL_TYPE
113,pistol_zg18_3,1000,2,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,weapon_g18_360,1,ALIENS_CATEGORY_PISTOL_TYPE
114,pistol_zg18_4,1000,3,CP_LOADOUT_PISTOL_G18,CP_LOADOUT_PISTOL_G18_DESC,weapon_g18_360,1,ALIENS_CATEGORY_PISTOL_TYPE
115,pistol_zemc,0,0,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,weapon_emc_360,0,ALIENS_CATEGORY_PISTOL_TYPE
116,pistol_zemc_1,1000,1,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,weapon_emc_360,1,ALIENS_CATEGORY_PISTOL_TYPE
117,pistol_zemc_2,1000,1,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,weapon_emc_360,1,ALIENS_CATEGORY_PISTOL_TYPE
118,pistol_zemc_3,1000,2,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,weapon_emc_360,1,ALIENS_CATEGORY_PISTOL_TYPE
119,pistol_zemc_4,1000,3,CP_LOADOUT_PISTOL_EMC,CP_LOADOUT_PISTOL_EMC_DESC,weapon_emc_360,1,ALIENS_CATEGORY_PISTOL_TYPE
200,power_frag,0,0,PERKS_FRAG_GRENADE,PERKS_DESC_FRAG_GRENADE,weapon_frag_360,0,ALIENS_CATEGORY_PISTOL_TYPE
201,power_bioSpike,0,0,PERKS_POWER_BIOSPIKE,PERKS_POWER_BIOSPIKE_DESC,weapon_throwknife_360,0,ALIENS_CATEGORY_PISTOL_TYPE
202,power_c4,0,0,PERKS_C4,PERKS_DESC_C4,weapon_c4,0,ALIENS_CATEGORY_PISTOL_TYPE
203,power_sensorGrenade,0,0,PERKS_POWER_SENSORGRENADE,PERKS_POWER_SENSORGRENADE_DESC,weapon_blackout_grenade,0,ALIENS_CATEGORY_PISTOL_TYPE
