a0,b1,c1
1,perk_machine_tough,cp_zmb_perk_icon_tough
2,perk_machine_revive,cp_zmb_perk_icon_revive
3,perk_machine_flash,cp_zmb_perk_icon_flash
4,perk_machine_run,cp_zmb_perk_icon_run
5,perk_machine_more,cp_zmb_perk_icon_more
6,perk_machine_rat_a_tat,cp_zmb_perk_icon_ratatat
7,perk_machine_zap,cp_zmb_perk_icon_zap
8,perk_machine_boom,cp_zmb_perk_icon_boom
9,perk_machine_deadeye,cp_zmb_perk_icon_deadeye
10,perk_machine_smack,cp_zmb_perk_icon_smack
11,perk_machine_copy,cp_zmb_perk_icon_copy
12,perk_machine_fwoosh,cp_zmb_perk_icon_fwoosh
13,perk_machine_lucky,cp_zmb_perk_icon_lucky
14,perk_machine_change1,cp_perk_change_chews_radioactive
15,perk_machine_change2,cp_perk_change_chews_shock
16,perk_machine_change3,cp_perk_change_chews_fire
17,perk_machine_change4,cp_perk_change_chews_cold
