0,,none,ATTACHMENTS_NO_ATTACHMENT,none,none,icon_weapon_ph_primary_att1,ATTACHMENTS_NO_ATTACHMENT,,,,FALSE,,,0,0,0,0,0,,weapon_missing_image
1,,rail,ATTACHMENTS_ACOG_SCOPE,acog,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
2,,rail,ATTACHMENTS_ACOG_SCOPE,acog_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
3,,rail,ATTACHMENTS_ACOG_SCOPE,acogake_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
4,,rail,ATTACHMENTS_ACOG_SCOPE,acogsmg_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
5,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogsmgnoalt_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
6,,rail,ATTACHMENTS_ACOG_SCOPE,acogpistol_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
7,,rail,ATTACHMENTS_ACOG_SCOPE,acoglmg_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
8,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogarnoalt_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,6,0,8,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
9,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogkbs_camo,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,PERKS_COMPLETE_THE_MARKSMAN,,,TRUE,,,-7,0,-9,0,0,regular|hardened|veteran,attachment_icon_showcase_acog
