loadoutName,MP_INGAME_ONLY_DEFAULT_CLASS_NAME_1,MP_INGAME_ONLY_DEFAULT_CLASS_NAME_2,MP_INGAME_ONLY_DEFAULT_CLASS_NAME_3,MP_INGAME_ONLY_DEFAULT_CLASS_NAME_4,MP_INGAME_ONLY_DEFAULT_CLASS_NAME_5
loadoutPrimary,iw7_fmg,iw7_crb,iw7_m8,iw7_mauler,iw7_fists
loadoutPrimaryAttachment1,elo,none,none,none,none
loadoutPrimaryAttachment2,grip,hipaim,fastaim,hipaim,none
loadoutPrimaryAttachment3,fastaim,xmags,silencer,xmags,none
loadoutPrimaryAttachment4,none,none,none,fmj,none
loadoutPrimaryAttachment5,none,none,none,none,none
loadoutPrimaryAttachment6,none,none,none,none,none
loadoutPrimaryCamo,none,none,none,none,none
loadoutPrimaryReticle,none,none,none,none,none
loadoutSecondary,iw7_nrg,iw7_fists,iw7_ripper,iw7_lockon,iw7_g18
loadoutSecondaryAttachment1,none,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,akimbo
loadoutSecondaryAttachment3,none,none,none,none,firetypeauto
loadoutSecondaryAttachment4,none,none,none,none,barrelrange
loadoutSecondaryAttachment5,none,none,none,none,xmags
loadoutSecondaryCamo,none,none,none,none,none
loadoutSecondaryReticle,none,none,none,none,none
loadoutPowerPrimary,power_c4,power_bioSpike,power_tripMine,none,none
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE
loadoutPowerSecondary,power_concussionGrenade,power_blackoutGrenade,power_smokeGrenade,power_domeshield,none
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE
loadoutGesture,none,none,none,none,none
loadoutPerk1,specialty_dexterity,specialty_ghost,specialty_blindeye,specialty_blastshield,specialty_overclock
loadoutPerk2,specialty_tracker,specialty_momentum,specialty_coldblooded,specialty_stun_resistance,specialty_scavenger
loadoutPerk3,specialty_bullet_outline,specialty_quieter,specialty_marksman,specialty_empimmune,specialty_sprintfire
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutExtraPerk3,specialty_null,specialty_sprintfire,specialty_null,specialty_null,specialty_null
loadoutOverkill,FALSE,FALSE,TRUE,FALSE,FALSE
