loadoutName,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS6
loadoutPrimary,iw6_bren,iw6_sc2010,iw6_pp19,iw6_bren,iw6_bren,iw6_bren
loadoutPrimaryAttachment,reflex,none,none,reflex,reflex,reflex
loadoutPrimaryAttachment2,grip,none,none,grip,grip,grip
loadoutPrimaryAttachment3,none,none,none,none,none,none
loadoutSecondary,iw6_m9a1,iw6_m9a1,iw6_m9a1,iw6_m9a1,iw6_m9a1,iw6_m9a1
loadoutSecondaryAttachment,none,none,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none,none
loadoutStreak0,uplink,uplink,uplink,uplink,uplink,uplink
loadoutStreak1,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog
loadoutStreak2,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac
loadoutStreak3,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support
loadoutStreak4,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo
loadoutStreak5,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping
loadoutPerk1,14,14,14,14,14,14
loadoutPerk2,25,25,25,25,25,25
loadoutPerk3,61,61,61,61,61,61
loadoutPerk4,63,63,63,63,63,63
loadoutPerk5,,,,,,
loadoutPerk6,,,,,,
loadoutPerk7,,,,,,
loadoutPerk8,,,,,,
