loadoutName,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS6
loadoutPrimary,iw6_m27,iw6_sc2010,iw6_pp19,iw6_m27,iw6_m27,iw6_m27
loadoutPrimaryAttachment,hybrid,none,none,hybrid,hybrid,hybrid
loadoutPrimaryAttachment2,none,none,none,none,none,none
loadoutPrimaryAttachment3,none,none,none,none,none,none
loadoutSecondary,iw6_rgm,iw6_rgm,iw6_rgm,iw6_rgm,iw6_rgm,iw6_rgm
loadoutSecondaryAttachment,none,none,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none,none
loadoutStreak0,uplink,uplink,uplink,uplink,uplink,uplink
loadoutStreak1,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog
loadoutStreak2,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac
loadoutStreak3,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support
loadoutStreak4,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo
loadoutStreak5,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping
loadoutPerk1,55,55,55,55,55,55
loadoutPerk2,62,62,62,62,62,62
loadoutPerk3,72,72,72,72,72,72
loadoutPerk4,73,73,73,73,73,73
loadoutPerk5,,,,,,
loadoutPerk6,,,,,,
loadoutPerk7,,,,,,
loadoutPerk8,,,,,,
