loadoutName,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS6
loadoutPrimary,iw6_g28,iw6_sc2010,iw6_pp19,iw6_g28,iw6_g28,iw6_g28
loadoutPrimaryAttachment,barrelrange,none,none,barrelrange,barrelrange,barrelrange
loadoutPrimaryAttachment2,fmj,none,none,fmj,fmj,fmj
loadoutPrimaryAttachment3,none,none,none,none,none,none
loadoutSecondary,iw6_pdw,iw6_pdw,iw6_pdw,iw6_pdw,iw6_pdw,iw6_pdw
loadoutSecondaryAttachment,silencer,silencer,silencer,silencer,silencer,silencer
loadoutSecondaryAttachment2,none,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none,none
loadoutStreak0,uplink,uplink,uplink,uplink,uplink,uplink
loadoutStreak1,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog
loadoutStreak2,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac
loadoutStreak3,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support
loadoutStreak4,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo
loadoutStreak5,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping
loadoutPerk1,34,34,34,34,34,34
loadoutPerk2,44,44,44,44,44,44
loadoutPerk3,53,53,53,53,53,53
loadoutPerk4,61,61,61,61,61,61
loadoutPerk5,,,,,,
loadoutPerk6,,,,,,
loadoutPerk7,,,,,,
loadoutPerk8,,,,,,
