a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,s19,t20,v21,v22,x23
0,none,KILLSTREAKS_NONE,KILLSTREAKS_NONE_DESC,,,,unused,,,,,,,specialty_ks_null,specialty_uav_crate,specialty_null,,,0,specialty_ks_null,specialty_ks_null,,
1,venom,KILLSTREAKS_VENOM,KILLSTREAKS_VENOM_DESC,450,700,unused,unused,achieve_spiderbot,spiderbot,spiderbot,1,ks_remote_device_mp,150,icon_scorestreak_scarab,icon_scorestreak_scarab,icon_scorestreak_scarab,icon_scorestreak_scarab,no_fire_weapon,1,icon_scorestreak_render_venom,icon_slot_scorestreak_venom,LETHAL,MENU_KILLS
2,uav,KILLSTREAKS_UAV,KILLSTREAKS_UAV_DESC,500,800,unused,unused,achieve_uav,uav,uav,1,ks_gesture_generic_mp,100,icon_scorestreak_uav,icon_scorestreak_uav,icon_scorestreak_uav,icon_scorestreak_uav,gesture_script_weapon,1,icon_scorestreak_render_uav,icon_slot_scorestreak_uav,SUPPORT,MENU_ASSISTS
3,dronedrop,KILLSTREAKS_DRONEDROP,KILLSTREAKS_DRONEDROP_DESC,550,850,unused,unused,achieve_dronedrop,dronedrop,dronedrop,1,deploy_dronepackage_mp,100,icon_scorestreak_drone_package,icon_scorestreak_drone_package,icon_scorestreak_drone_package,icon_scorestreak_drone_package,no_fire_weapon,1,icon_scorestreak_render_drone_package,icon_slot_scorestreak_drone_package,SUPPORT,
4,counter_uav,KILLSTREAKS_COUNTER_UAV,KILLSTREAKS_COUNTER_UAV_DESC,600,1300,unused,unused,achieve_counter_uav,counter_uav,counter_uav,1,ks_gesture_generic_mp,100,icon_scorestreak_cuav,icon_scorestreak_cuav,icon_scorestreak_cuav,icon_scorestreak_cuav,gesture_script_weapon,1,icon_scorestreak_render_cuav,icon_slot_scorestreak_cuav,SUPPORT,MENU_ASSISTS
5,ball_drone_backup,KILLSTREAKS_BALL_DRONE_BACKUP,KILLSTREAKS_BALL_DRONE_BACKUP_DESC,700,1800,unused,unused,achieve_ball_drone_backup,ball_drone_backup,ball_drone_backup,1,ks_gesture_generic_mp,150,icon_scorestreak_vulture,icon_scorestreak_vulture,icon_scorestreak_vulture,icon_scorestreak_vulture,gesture_script_weapon,1,icon_scorestreak_render_vulture,icon_slot_scorestreak_vulture,LETHAL,MENU_KILLS
6,drone_hive,KILLSTREAKS_ORBITAL_DEPLOYMENT,KILLSTREAKS_ORBITAL_DEPLOYMENT_DESC,750,2200,unused,unused,achieve_orbital_deployment,orbital_deployment,orbital_deployment,1,ks_remote_device_mp,150,icon_scorestreak_orbital_rocket,icon_scorestreak_orbital_rocket,icon_scorestreak_orbital_rocket,icon_scorestreak_orbital_rocket,no_fire_weapon,1,icon_scorestreak_render_orbital_rocket,icon_slot_scorestreak_orbital_rocket,LETHAL,MENU_KILLS
7,precision_airstrike,KILLSTREAKS_PRECISION_AIRSTRIKE,KILLSTREAKS_PRECISION_AIRSTRIKE_DESC,800,2800,unused,unused,achieve_precision_airstrike,precision_airstrike,precision_airstrike,1,ks_remote_map_mp,200,icon_scorestreak_scorcher,icon_scorestreak_scorcher,icon_scorestreak_scorcher,icon_scorestreak_scorcher,no_fire_weapon,1,icon_scorestreak_render_scorchers,icon_slot_scorestreak_scorchers,LETHAL,MENU_KILLS
8,bombardment,KILLSTREAKS_BOMBARDMENT,KILLSTREAKS_BOMBARDMENT_DESC,850,3500,unused,unused,achieve_bombardment,bombardment,bombardment,1,ks_remote_map_mp,200,icon_scorestreak_bombardment,icon_scorestreak_bombardment,icon_scorestreak_bombardment,icon_scorestreak_bombardment,no_fire_weapon,1,icon_scorestreak_render_bombardment,icon_slot_scorestreak_bombardment,LETHAL,MENU_KILLS
9,sentry_shock,KILLSTREAKS_SENTRY_SHOCK,KILLSTREAKS_SENTRY_SHOCK_DESC,900,4000,unused,unused,achieve_sentry_shock,sentry_shock,sentry_shock,1,none,100,icon_scorestreak_shock_sentry,icon_scorestreak_shock_sentry,icon_scorestreak_shock_sentry,icon_scorestreak_shock_sentry,no_weapon,1,icon_scorestreak_render_turret,icon_slot_scorestreak_turret,LETHAL,MENU_KILLS
10,jackal,KILLSTREAKS_JACKAL,KILLSTREAKS_JACKAL_DESC,1100,4600,unused,unused,achieve_jackal,jackal,jackal,1,ks_gesture_generic_mp,200,icon_scorestreak_dropship,icon_scorestreak_dropship,icon_scorestreak_dropship,icon_scorestreak_dropship,gesture_script_weapon,1,icon_scorestreak_render_dropship,icon_slot_scorestreak_dropship,LETHAL,MENU_KILLS
11,directional_uav,KILLSTREAKS_DIRECTIONAL_UAV,KILLSTREAKS_DIRECTIONAL_UAV_DESC,1250,5000,unused,unused,achieve_directional_uav,directional_uav,directional_uav,1,ks_gesture_generic_mp,150,icon_scorestreak_auav,icon_scorestreak_auav,icon_scorestreak_auav,icon_scorestreak_auav,gesture_script_weapon,1,icon_scorestreak_render_auav,icon_slot_scorestreak_auav,SUPPORT,MENU_ASSISTS
12,thor,KILLSTREAKS_THOR,KILLSTREAKS_THOR_DESC,1300,5200,unused,unused,achieve_thor,thor,thor,1,ks_remote_device_mp,200,icon_scorestreak_thor,icon_scorestreak_thor,icon_scorestreak_thor,icon_scorestreak_thor,no_fire_weapon,1,icon_scorestreak_render_thor,icon_slot_scorestreak_thor,LETHAL,MENU_KILLS
13,remote_c8,KILLSTREAKS_RC8,KILLSTREAKS_RC8_DESC,1450,5600,unused,unused,achieve_remote_c8,remote_c8,remote_c8,1,deploy_rc8_mp,200,icon_scorestreak_c8,icon_scorestreak_c8,icon_scorestreak_c8,icon_scorestreak_c8,no_fire_weapon,1,icon_scorestreak_render_rc8,icon_slot_scorestreak_rc8,LETHAL,MENU_KILLS
14,minijackal,KILLSTREAKS_MINIJACKAL,KILLSTREAKS_MINIJACKAL_DESC,1550,6200,unused,unused,achieve_minijackal,minijackal,minijackal,1,ks_remote_device_mp,200,icon_scorestreak_apex,icon_scorestreak_apex,icon_scorestreak_apex,icon_scorestreak_apex,no_fire_weapon,1,icon_scorestreak_render_apex,icon_slot_scorestreak_apex,LETHAL,MENU_KILLS
15,jammer,KILLSTREAKS_JAMMER,KILLSTREAKS_JAMMER_DESC,1300,5000,unused,unused,achieve_jammer,jammer,jammer,1,ks_gesture_generic_mp,200,icon_ks_ground_jammer,icon_ks_ground_jammer_hud,icon_ks_ground_jammer_hud,icon_ks_ground_jammer_hud,gesture_script_weapon,0,icon_ks_ground_jammer,,,
16,nuke,KILLSTREAKS_TACTICAL_NUKE,KILLSTREAKS_TACTICAL_NUKE_DESC,2500,7000,unused,unused,achieve_nuke,nuke,nuke,1,ks_gesture_generic_mp,100,icon_scorestreak_nuke,icon_scorestreak_nuke,icon_scorestreak_nuke,icon_scorestreak_nuke,gesture_script_weapon,0,icon_scorestreak_nuke,icon_slot_scorestreak_nuke,,
17,refresh,KILLSTREAKS_REFRESH,KILLSTREAKS_REFRESH_DESC,2500,7000,unused,unused,null,null,null,0,none,200,white,white,white,white,script_weapon,0,,,,
18,hitman,KILLSTREAKS_HITMAN,KILLSTREAKS_HITMAN_DESC,2500,7000,unused,unused,null,null,null,0,none,201,white,white,white,white,script_weapon,0,,,,
