a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
maxrank,54,,,,,,,,,,,,,,,
0,,0,4000,RANK_PVT,RANK_PVT_FULL,,4000,,,,,,1,1,ranked_up_1,RANK_PVT_FULL
1,,4000,4600,RANK_PVT,RANK_PVT_FULL2,,8600,,,,,,2,2,ranked_up_1,RANK_PVT_FULL_N
2,,8600,5200,RANK_PFC,RANK_PFC_FULL,,13800,,,,,,3,3,ranked_up_1,RANK_PFC_FULL
3,,13800,5800,RANK_PFC,RANK_PFC_FULL2,,19600,,,,,,4,4,ranked_up_2,RANK_PFC_FULL_N
4,,19600,6400,RANK_SPC,RANK_SPC_FULL,,26000,,,,,,5,5,ranked_up_2,RANK_SPC_FULL
5,,26000,7000,RANK_SPC,RANK_SPC_FULL2,,33000,,,,,,6,6,ranked_up_2,RANK_SPC_FULL_N
6,,33000,7600,RANK_CPL,RANK_CPL_FULL,,40600,,,,,,7,7,ranked_up_3,RANK_CPL_FULL
7,,40600,8200,RANK_CPL,RANK_CPL_FULL2,,48800,,,,,,8,8,ranked_up_3,RANK_CPL_FULL_N
8,,48800,8800,RANK_SGT,RANK_SGT_FULL,,57600,,,,,,9,9,ranked_up_3,RANK_SGT_FULL
9,,57600,9600,RANK_SGT,RANK_SGT_FULL2,,67200,,,,,,10,10,ranked_up_4,RANK_SGT_FULL_N
10,,67200,10400,RANK_SSGT,RANK_SSGT_FULL,,77600,,,,,,11,11,ranked_up_4,RANK_SSGT_FULL
11,,77600,11200,RANK_SSGT,RANK_SSGT_FULL2,,88800,,,,,,12,12,ranked_up_4,RANK_SSGT_FULL_N
12,,88800,12000,RANK_SSGT,RANK_SSGT_FULL3,,100800,,,,,,13,13,ranked_up_5,RANK_SSGT_FULL_N
13,,100800,12800,RANK_SFC,RANK_SFC_FULL,,113600,,,,,,14,14,ranked_up_5,RANK_SFC_FULL
14,,113600,13600,RANK_SFC,RANK_SFC_FULL2,,127200,,,,,,15,15,ranked_up_5,RANK_SFC_FULL_N
15,,127200,14400,RANK_SFC,RANK_SFC_FULL3,,141600,,,,,,16,16,ranked_up_6,RANK_SFC_FULL_N
16,,141600,15200,RANK_MSGT,RANK_MSGT_FULL,,156800,,,,,,17,17,ranked_up_6,RANK_MSGT_FULL
17,,156800,16000,RANK_MSGT,RANK_MSGT_FULL2,,172800,,,,,,18,18,ranked_up_6,RANK_MSGT_FULL_N
18,,172800,16800,RANK_MSGT,RANK_MSGT_FULL3,,189600,,,,,,19,19,ranked_up_7,RANK_MSGT_FULL_N
19,,189600,17600,RANK_1STSGT,RANK_1STSGT_FULL,,207200,,,,,,20,20,ranked_up_7,RANK_1STSGT_FULL
20,,207200,18400,RANK_1STSGT,RANK_1STSGT_FULL2,,225600,,,,,,21,21,ranked_up_7,RANK_1STSGT_FULL_N
21,,225600,19200,RANK_1STSGT,RANK_1STSGT_FULL3,,244800,,,,,,22,22,ranked_up_8,RANK_1STSGT_FULL_N
22,,244800,20000,RANK_SGTMAJ,RANK_SGTMAJ_FULL,,264800,,,,,,23,23,ranked_up_8,RANK_SGTMAJ_FULL
