a0,b1,c2,d3,e4,f5,g6,h7,i8,,
0,dpad_team_ammo_reg,0,0,1250,ALIENS_TEAM_AMMO,ALIENS_TEAM_AMMO_DESC,alien_icon_laststand,alien_dpad_icon_team_ammo,0,ALIENS_CATEGORY_AMMO_TYPE
1,dpad_team_ammo_reg_1,0,1,1250,ALIENS_TEAM_AMMO,ALIENS_TEAM_AMMO_DESC_1,alien_icon_laststand,alien_dpad_icon_team_ammo_1,1,ALIENS_CATEGORY_AMMO_TYPE
2,dpad_team_ammo_reg_2,0,1,1250,ALIENS_TEAM_AMMO,ALIENS_TEAM_AMMO_DESC_2,alien_icon_laststand,alien_dpad_icon_team_ammo_2,1,ALIENS_CATEGORY_AMMO_TYPE
3,dpad_team_ammo_reg_3,0,1,1250,ALIENS_TEAM_AMMO,ALIENS_TEAM_AMMO_DESC_3,alien_icon_laststand,alien_dpad_icon_team_ammo_3,1,ALIENS_CATEGORY_AMMO_TYPE
4,dpad_team_ammo_reg_4,0,2,1250,ALIENS_TEAM_AMMO,ALIENS_TEAM_AMMO_DESC_4,alien_icon_laststand,alien_dpad_icon_team_ammo_4,1,ALIENS_CATEGORY_AMMO_TYPE
5,dpad_team_ammo_stun,1,0,1000,ALIENS_TEAM_AMMO_SPECIAL,ALIENS_TEAM_AMMO_SPECIAL_DESC,alien_icon_laststand,alien_dpad_icon_ammo_stun,0,ALIENS_CATEGORY_AMMO_TYPE
6,dpad_team_ammo_stun_1,1,1,1000,ALIENS_TEAM_AMMO_SPECIAL,ALIENS_TEAM_AMMO_SPECIAL_DESC_1,alien_icon_laststand,alien_dpad_icon_ammo_stun_01,1,ALIENS_CATEGORY_AMMO_TYPE
7,dpad_team_ammo_stun_2,1,1,1000,ALIENS_TEAM_AMMO_SPECIAL,ALIENS_TEAM_AMMO_SPECIAL_DESC_2,alien_icon_laststand,alien_dpad_icon_ammo_stun_02,1,ALIENS_CATEGORY_AMMO_TYPE
8,dpad_team_ammo_stun_3,1,1,1000,ALIENS_TEAM_AMMO_SPECIAL,ALIENS_TEAM_AMMO_SPECIAL_DESC_3,alien_icon_laststand,alien_dpad_icon_ammo_stun_03,1,ALIENS_CATEGORY_AMMO_TYPE
9,dpad_team_ammo_stun_4,1,1,1000,ALIENS_TEAM_AMMO_SPECIAL,ALIENS_TEAM_AMMO_SPECIAL_DESC_4,alien_icon_laststand,alien_dpad_icon_ammo_stun_04,1,ALIENS_CATEGORY_AMMO_TYPE
10,dpad_team_ammo_in,11,0,1200,ALIENS_TEAM_AMMO_SPECIAL_IN,ALIENS_TEAM_AMMO_SPECIAL_IN_DESC,alien_icon_laststand,alien_dpad_icon_ammo_incendiary,0,ALIENS_CATEGORY_AMMO_TYPE
11,dpad_team_ammo_in_1,11,1,1200,ALIENS_TEAM_AMMO_SPECIAL_IN,ALIENS_TEAM_AMMO_SPECIAL_IN_DESC_1,alien_icon_laststand,alien_dpad_icon_ammo_incendiary_01,1,ALIENS_CATEGORY_AMMO_TYPE
12,dpad_team_ammo_in_2,11,1,1200,ALIENS_TEAM_AMMO_SPECIAL_IN,ALIENS_TEAM_AMMO_SPECIAL_IN_DESC_2,alien_icon_laststand,alien_dpad_icon_ammo_incendiary_02,1,ALIENS_CATEGORY_AMMO_TYPE
13,dpad_team_ammo_in_3,11,1,1200,ALIENS_TEAM_AMMO_SPECIAL_IN,ALIENS_TEAM_AMMO_SPECIAL_IN_DESC_3,alien_icon_laststand,alien_dpad_icon_ammo_incendiary_03,1,ALIENS_CATEGORY_AMMO_TYPE
14,dpad_team_ammo_in_4,11,1,1200,ALIENS_TEAM_AMMO_SPECIAL_IN,ALIENS_TEAM_AMMO_SPECIAL_IN_DESC_4,alien_icon_laststand,alien_dpad_icon_ammo_incendiary_04,1,ALIENS_CATEGORY_AMMO_TYPE
15,dpad_team_ammo_explo,19,0,1250,ALIENS_TEAM_AMMO_SPECIAL_EXPLO,ALIENS_TEAM_AMMO_SPECIAL_EXPLO_DESC,alien_icon_laststand,alien_dpad_icon_ammo_explosive,0,ALIENS_CATEGORY_AMMO_TYPE
16,dpad_team_ammo_explo_1,19,1,1250,ALIENS_TEAM_AMMO_SPECIAL_EXPLO,ALIENS_TEAM_AMMO_SPECIAL_EXPLO_DESC_1,alien_icon_laststand,alien_dpad_icon_ammo_explosive_01,1,ALIENS_CATEGORY_AMMO_TYPE
17,dpad_team_ammo_explo_2,19,1,1250,ALIENS_TEAM_AMMO_SPECIAL_EXPLO,ALIENS_TEAM_AMMO_SPECIAL_EXPLO_DESC_2,alien_icon_laststand,alien_dpad_icon_ammo_explosive_02,1,ALIENS_CATEGORY_AMMO_TYPE
18,dpad_team_ammo_explo_3,19,1,1250,ALIENS_TEAM_AMMO_SPECIAL_EXPLO,ALIENS_TEAM_AMMO_SPECIAL_EXPLO_DESC_3,alien_icon_laststand,alien_dpad_icon_ammo_explosive_03,1,ALIENS_CATEGORY_AMMO_TYPE
19,dpad_team_ammo_explo_4,19,1,1250,ALIENS_TEAM_AMMO_SPECIAL_EXPLO,ALIENS_TEAM_AMMO_SPECIAL_EXPLO_DESC_4,alien_icon_laststand,alien_dpad_icon_ammo_explosive_04,1,ALIENS_CATEGORY_AMMO_TYPE
20,dpad_team_ammo_ap,24,0,1100,ALIENS_TEAM_AMMO_SPECIAL_AP,ALIENS_TEAM_AMMO_SPECIAL_AP_DESC,alien_icon_laststand,alien_dpad_icon_ammo_piercing,0,ALIENS_CATEGORY_AMMO_TYPE
21,dpad_team_ammo_ap_1,24,1,1100,ALIENS_TEAM_AMMO_SPECIAL_AP,ALIENS_TEAM_AMMO_SPECIAL_AP_DESC_1,alien_icon_laststand,alien_dpad_icon_ammo_piercing_01,1,ALIENS_CATEGORY_AMMO_TYPE
22,dpad_team_ammo_ap_2,24,1,1100,ALIENS_TEAM_AMMO_SPECIAL_AP,ALIENS_TEAM_AMMO_SPECIAL_AP_DESC_2,alien_icon_laststand,alien_dpad_icon_ammo_piercing_02,1,ALIENS_CATEGORY_AMMO_TYPE
23,dpad_team_ammo_ap_3,24,1,1100,ALIENS_TEAM_AMMO_SPECIAL_AP,ALIENS_TEAM_AMMO_SPECIAL_AP_DESC_3,alien_icon_laststand,alien_dpad_icon_ammo_piercing_03,1,ALIENS_CATEGORY_AMMO_TYPE
24,dpad_team_ammo_ap_4,24,1,1100,ALIENS_TEAM_AMMO_SPECIAL_AP,ALIENS_TEAM_AMMO_SPECIAL_AP_DESC_4,alien_icon_laststand,alien_dpad_icon_ammo_piercing_04,1,ALIENS_CATEGORY_AMMO_TYPE
100,dpad_team_explosives,0,0,800,ALIENS_TEAM_EXPLOSIVES,ALIENS_TEAM_EXPLOSIVES_DESC,alien_icon_laststand,alien_dpad_icon_team_explosives,0,ALIENS_CATEGORY_TEAM_SUPPORT
101,dpad_team_explosives_1,0,1,800,ALIENS_TEAM_EXPLOSIVES,ALIENS_TEAM_EXPLOSIVES_DESC_1,alien_icon_laststand,alien_dpad_icon_team_explosives_1,1,ALIENS_CATEGORY_TEAM_SUPPORT
102,dpad_team_explosives_2,0,1,800,ALIENS_TEAM_EXPLOSIVES,ALIENS_TEAM_EXPLOSIVES_DESC_2,alien_icon_laststand,alien_dpad_icon_team_explosives_2,1,ALIENS_CATEGORY_TEAM_SUPPORT
103,dpad_team_explosives_3,0,1,800,ALIENS_TEAM_EXPLOSIVES,ALIENS_TEAM_EXPLOSIVES_DESC_3,alien_icon_laststand,alien_dpad_icon_team_explosives_3,1,ALIENS_CATEGORY_TEAM_SUPPORT
104,dpad_team_explosives_4,0,1,800,ALIENS_TEAM_EXPLOSIVES,ALIENS_TEAM_EXPLOSIVES_DESC_4,alien_icon_laststand,alien_dpad_icon_team_explosives_4,1,ALIENS_CATEGORY_TEAM_SUPPORT
105,dpad_team_adrenaline,3,0,800,ALIENS_TEAM_ADRENALINE,ALIENS_TEAM_ADRENALINE_DESC,alien_icon_laststand,alien_dpad_icon_team_adrenaline,0,ALIENS_CATEGORY_TEAM_SUPPORT
106,dpad_team_adrenaline_1,3,1,800,ALIENS_TEAM_ADRENALINE,ALIENS_TEAM_ADRENALINE_DESC_1,alien_icon_laststand,alien_dpad_icon_team_adrenaline_1,1,ALIENS_CATEGORY_TEAM_SUPPORT
107,dpad_team_adrenaline_2,3,1,800,ALIENS_TEAM_ADRENALINE,ALIENS_TEAM_ADRENALINE_DESC_2,alien_icon_laststand,alien_dpad_icon_team_adrenaline_2,1,ALIENS_CATEGORY_TEAM_SUPPORT
108,dpad_team_adrenaline_3,3,1,800,ALIENS_TEAM_ADRENALINE,ALIENS_TEAM_ADRENALINE_DESC_3,alien_icon_laststand,alien_dpad_icon_team_adrenaline_3,1,ALIENS_CATEGORY_TEAM_SUPPORT
109,dpad_team_adrenaline_4,3,1,800,ALIENS_TEAM_ADRENALINE,ALIENS_TEAM_ADRENALINE_DESC_4,alien_icon_laststand,alien_dpad_icon_team_adrenaline_4,1,ALIENS_CATEGORY_TEAM_SUPPORT
110,dpad_team_armor,7,0,1000,ALIENS_TEAM_ARMOR,ALIENS_TEAM_ARMOR_DESC,alien_icon_laststand,alien_dpad_icon_team_armor,0,ALIENS_CATEGORY_TEAM_SUPPORT
111,dpad_team_armor_1,7,1,1000,ALIENS_TEAM_ARMOR,ALIENS_TEAM_ARMOR_DESC_1,alien_icon_laststand,alien_dpad_icon_team_armor_1,1,ALIENS_CATEGORY_TEAM_SUPPORT
112,dpad_team_armor_2,7,1,1000,ALIENS_TEAM_ARMOR,ALIENS_TEAM_ARMOR_DESC_2,alien_icon_laststand,alien_dpad_icon_team_armor_2,1,ALIENS_CATEGORY_TEAM_SUPPORT
113,dpad_team_armor_3,7,1,1000,ALIENS_TEAM_ARMOR,ALIENS_TEAM_ARMOR_DESC_3,alien_icon_laststand,alien_dpad_icon_team_armor_3,1,ALIENS_CATEGORY_TEAM_SUPPORT
114,dpad_team_armor_4,7,1,1000,ALIENS_TEAM_ARMOR,ALIENS_TEAM_ARMOR_DESC_4,alien_icon_laststand,alien_dpad_icon_team_armor_4,1,ALIENS_CATEGORY_TEAM_SUPPORT
115,dpad_team_boost,13,0,700,ALIENS_TEAM_BOOST,ALIENS_TEAM_BOOST_DESC,alien_icon_laststand,alien_dpad_icon_team_boost,0,ALIENS_CATEGORY_TEAM_SUPPORT
116,dpad_team_boost_1,13,1,700,ALIENS_TEAM_BOOST,ALIENS_TEAM_BOOST_DESC_1,alien_icon_laststand,alien_dpad_icon_team_boost_1,1,ALIENS_CATEGORY_TEAM_SUPPORT
117,dpad_team_boost_2,13,1,700,ALIENS_TEAM_BOOST,ALIENS_TEAM_BOOST_DESC_2,alien_icon_laststand,alien_dpad_icon_team_boost_2,1,ALIENS_CATEGORY_TEAM_SUPPORT
118,dpad_team_boost_3,13,1,700,ALIENS_TEAM_BOOST,ALIENS_TEAM_BOOST_DESC_3,alien_icon_laststand,alien_dpad_icon_team_boost_3,1,ALIENS_CATEGORY_TEAM_SUPPORT
119,dpad_team_boost_4,13,1,700,ALIENS_TEAM_BOOST,ALIENS_TEAM_BOOST_DESC_4,alien_icon_laststand,alien_dpad_icon_team_boost_4,1,ALIENS_CATEGORY_TEAM_SUPPORT
120,dpad_team_randombox,16,0,900,ALIENS_TEAM_RANDOMBOX,ALIENS_TEAM_RANDOMBOX_DESC,alien_icon_laststand,alien_dpad_icon_team_randombox,0,ALIENS_CATEGORY_TEAM_SUPPORT
121,dpad_team_randombox_1,16,1,900,ALIENS_TEAM_RANDOMBOX,ALIENS_TEAM_RANDOMBOX_DESC_1,alien_icon_laststand,alien_dpad_icon_team_randombox_1,1,ALIENS_CATEGORY_TEAM_SUPPORT
122,dpad_team_randombox_2,16,1,900,ALIENS_TEAM_RANDOMBOX,ALIENS_TEAM_RANDOMBOX_DESC_2,alien_icon_laststand,alien_dpad_icon_team_randombox_2,1,ALIENS_CATEGORY_TEAM_SUPPORT
123,dpad_team_randombox_3,16,1,900,ALIENS_TEAM_RANDOMBOX,ALIENS_TEAM_RANDOMBOX_DESC_3,alien_icon_laststand,alien_dpad_icon_team_randombox_3,1,ALIENS_CATEGORY_TEAM_SUPPORT
124,dpad_team_randombox_4,16,1,900,ALIENS_TEAM_RANDOMBOX,ALIENS_TEAM_RANDOMBOX_DESC_4,alien_icon_laststand,alien_dpad_icon_team_randombox_4,1,ALIENS_CATEGORY_TEAM_SUPPORT
200,dpad_minigun_turret,0,0,1100,ALIENS_MINIGUN_TURRET,ALIENS_MINIGUN_TURRET_DESC,alien_icon_laststand,alien_dpad_icon_manned_turret,0,ALIENS_CATEGORY_EQUALIZER
201,dpad_minigun_turret_1,0,1,1100,ALIENS_MINIGUN_TURRET,ALIENS_MINIGUN_TURRET_DESC_1,alien_icon_laststand,alien_dpad_icon_manned_turret_1,1,ALIENS_CATEGORY_EQUALIZER
202,dpad_minigun_turret_2,0,1,1100,ALIENS_MINIGUN_TURRET,ALIENS_MINIGUN_TURRET_DESC_2,alien_icon_laststand,alien_dpad_icon_manned_turret_2,1,ALIENS_CATEGORY_EQUALIZER
203,dpad_minigun_turret_3,0,2,1100,ALIENS_MINIGUN_TURRET,ALIENS_MINIGUN_TURRET_DESC_3,alien_icon_laststand,alien_dpad_icon_manned_turret_3,1,ALIENS_CATEGORY_EQUALIZER
204,dpad_minigun_turret_4,0,3,1100,ALIENS_MINIGUN_TURRET,ALIENS_MINIGUN_TURRET_DESC_4,alien_icon_laststand,alien_dpad_icon_manned_turret_4,1,ALIENS_CATEGORY_EQUALIZER
205,dpad_gl_sentry,5,0,1000,ALIENS_GLSENTRY,ALIENS_GLSENTRY_DESC,alien_icon_laststand,alien_dpad_icon_grenade_turret,0,ALIENS_CATEGORY_EQUALIZER
206,dpad_gl_sentry_1,5,1,1000,ALIENS_GLSENTRY,ALIENS_GLSENTRY_DESC_1,alien_icon_laststand,alien_dpad_icon_grenade_turret_1,1,ALIENS_CATEGORY_EQUALIZER
207,dpad_gl_sentry_2,5,1,1000,ALIENS_GLSENTRY,ALIENS_GLSENTRY_DESC_2,alien_icon_laststand,alien_dpad_icon_grenade_turret_2,1,ALIENS_CATEGORY_EQUALIZER
208,dpad_gl_sentry_3,5,2,1000,ALIENS_GLSENTRY,ALIENS_GLSENTRY_DESC_3,alien_icon_laststand,alien_dpad_icon_grenade_turret_3,1,ALIENS_CATEGORY_EQUALIZER
209,dpad_gl_sentry_4,5,3,1000,ALIENS_GLSENTRY,ALIENS_GLSENTRY_DESC_4,alien_icon_laststand,alien_dpad_icon_grenade_turret_4,1,ALIENS_CATEGORY_EQUALIZER
210,dpad_riotshield,14,0,700,ALIENS_RIOTSHIELD,ALIENS_RIOTSHIELD_DESC,alien_icon_laststand,alien_dpad_icon_riotshield,0,ALIENS_CATEGORY_EQUALIZER
211,dpad_riotshield_1,14,1,700,ALIENS_RIOTSHIELD,ALIENS_RIOTSHIELD_DESC_1,alien_icon_laststand,alien_dpad_icon_riotshield_1,1,ALIENS_CATEGORY_EQUALIZER
212,dpad_riotshield_2,14,1,700,ALIENS_RIOTSHIELD,ALIENS_RIOTSHIELD_DESC_2,alien_icon_laststand,alien_dpad_icon_riotshield_2,1,ALIENS_CATEGORY_EQUALIZER
213,dpad_riotshield_3,14,2,700,ALIENS_RIOTSHIELD,ALIENS_RIOTSHIELD_DESC_3,alien_icon_laststand,alien_dpad_icon_riotshield_3,1,ALIENS_CATEGORY_EQUALIZER
214,dpad_riotshield_4,14,3,700,ALIENS_RIOTSHIELD,ALIENS_RIOTSHIELD_DESC_4,alien_icon_laststand,alien_dpad_icon_riotshield_4,1,ALIENS_CATEGORY_EQUALIZER
215,dpad_war_machine,22,0,2000,ALIENS_WAR_MACHINE,ALIENS_WAR_MACHINE_DESC,alien_icon_laststand,alien_dpad_icon_war_machine,0,ALIENS_CATEGORY_EQUALIZER
216,dpad_war_machine_1,22,1,2000,ALIENS_WAR_MACHINE,ALIENS_WAR_MACHINE_DESC_1,alien_icon_laststand,alien_dpad_icon_war_machine_1,1,ALIENS_CATEGORY_EQUALIZER
217,dpad_war_machine_2,22,1,2000,ALIENS_WAR_MACHINE,ALIENS_WAR_MACHINE_DESC_2,alien_icon_laststand,alien_dpad_icon_war_machine_2,1,ALIENS_CATEGORY_EQUALIZER
218,dpad_war_machine_3,22,2,2000,ALIENS_WAR_MACHINE,ALIENS_WAR_MACHINE_DESC_3,alien_icon_laststand,alien_dpad_icon_war_machine_3,1,ALIENS_CATEGORY_EQUALIZER
219,dpad_war_machine_4,22,3,2000,ALIENS_WAR_MACHINE,ALIENS_WAR_MACHINE_DESC_4,alien_icon_laststand,alien_dpad_icon_war_machine_4,1,ALIENS_CATEGORY_EQUALIZER
220,dpad_death_machine,28,0,2200,ALIENS_DEATH_MACHINE,ALIENS_DEATH_MACHINE_DESC,alien_icon_laststand,alien_dpad_icon_death_machine,0,ALIENS_CATEGORY_EQUALIZER
221,dpad_death_machine_1,28,1,2200,ALIENS_DEATH_MACHINE,ALIENS_DEATH_MACHINE_DESC_1,alien_icon_laststand,alien_dpad_icon_death_machine_1,1,ALIENS_CATEGORY_EQUALIZER
222,dpad_death_machine_2,28,1,2200,ALIENS_DEATH_MACHINE,ALIENS_DEATH_MACHINE_DESC_2,alien_icon_laststand,alien_dpad_icon_death_machine_2,1,ALIENS_CATEGORY_EQUALIZER
223,dpad_death_machine_3,28,2,2200,ALIENS_DEATH_MACHINE,ALIENS_DEATH_MACHINE_DESC_3,alien_icon_laststand,alien_dpad_icon_death_machine_3,1,ALIENS_CATEGORY_EQUALIZER
224,dpad_death_machine_4,28,3,2200,ALIENS_DEATH_MACHINE,ALIENS_DEATH_MACHINE_DESC_4,alien_icon_laststand,alien_dpad_icon_death_machine_4,1,ALIENS_CATEGORY_EQUALIZER
300,dpad_ims,0,0,1250,ALIENS_IMS,ALIENS_IMS_DESC,alien_icon_laststand,alien_dpad_icon_ims,0,ALIENS_ALIENS_CATEGORY_STRIKE_PACKAGE
301,dpad_ims_1,0,1,1250,ALIENS_IMS,ALIENS_IMS_DESC_1,alien_icon_laststand,alien_dpad_icon_ims_1,1,ALIENS_CATEGORY_STRIKE_PACKAGE
302,dpad_ims_2,0,1,1250,ALIENS_IMS,ALIENS_IMS_DESC_2,alien_icon_laststand,alien_dpad_icon_ims_2,1,ALIENS_CATEGORY_STRIKE_PACKAGE
303,dpad_ims_3,0,2,1250,ALIENS_IMS,ALIENS_IMS_DESC_3,alien_icon_laststand,alien_dpad_icon_ims_3,1,ALIENS_CATEGORY_STRIKE_PACKAGE
304,dpad_ims_4,0,3,1250,ALIENS_IMS,ALIENS_IMS_DESC_4,alien_icon_laststand,alien_dpad_icon_ims_4,1,ALIENS_CATEGORY_STRIKE_PACKAGE
305,dpad_mortar,8,0,1500,ALIENS_MORTAR,ALIENS_MORTAR_DESC,alien_icon_laststand,alien_dpad_icon_airstrike,0,ALIENS_CATEGORY_STRIKE_PACKAGE
306,dpad_mortar_1,8,1,1500,ALIENS_MORTAR,ALIENS_MORTAR_DESC_1,alien_icon_laststand,alien_dpad_icon_airstrike_1,1,ALIENS_CATEGORY_STRIKE_PACKAGE
307,dpad_mortar_2,8,1,1500,ALIENS_MORTAR,ALIENS_MORTAR_DESC_2,alien_icon_laststand,alien_dpad_icon_airstrike_2,1,ALIENS_CATEGORY_STRIKE_PACKAGE
308,dpad_mortar_3,8,2,1500,ALIENS_MORTAR,ALIENS_MORTAR_DESC_3,alien_icon_laststand,alien_dpad_icon_airstrike_3,1,ALIENS_CATEGORY_STRIKE_PACKAGE
309,dpad_mortar_4,8,3,1500,ALIENS_MORTAR,ALIENS_MORTAR_DESC_4,alien_icon_laststand,alien_dpad_icon_airstrike_4,1,ALIENS_CATEGORY_STRIKE_PACKAGE
310,dpad_predator,17,0,1300,ALIENS_PREDATOR,ALIENS_PREDATOR_DESC,alien_icon_laststand,alien_dpad_icon_switchblade,0,ALIENS_CATEGORY_STRIKE_PACKAGE
311,dpad_predator_1,17,1,1300,ALIENS_PREDATOR,ALIENS_PREDATOR_DESC_1,alien_icon_laststand,alien_dpad_icon_switchblade_1,1,ALIENS_CATEGORY_STRIKE_PACKAGE
312,dpad_predator_2,17,1,1300,ALIENS_PREDATOR,ALIENS_PREDATOR_DESC_2,alien_icon_laststand,alien_dpad_icon_switchblade_2,1,ALIENS_CATEGORY_STRIKE_PACKAGE
313,dpad_predator_3,17,2,1300,ALIENS_PREDATOR,ALIENS_PREDATOR_DESC_3,alien_icon_laststand,alien_dpad_icon_switchblade_3,1,ALIENS_CATEGORY_STRIKE_PACKAGE
314,dpad_predator_4,17,3,1300,ALIENS_PREDATOR,ALIENS_PREDATOR_DESC_4,alien_icon_laststand,alien_dpad_icon_switchblade_4,1,ALIENS_CATEGORY_STRIKE_PACKAGE
315,dpad_sentry,21,0,2000,ALIENS_SENTRY_GUN,ALIENS_SENTRY_GUN_DESC,alien_icon_laststand,alien_dpad_icon_sentry,0,ALIENS_CATEGORY_STRIKE_PACKAGE
316,dpad_sentry_1,21,1,2000,ALIENS_SENTRY_GUN,ALIENS_SENTRY_GUN_DESC_1,alien_icon_laststand,alien_dpad_icon_sentry_1,1,ALIENS_CATEGORY_STRIKE_PACKAGE
317,dpad_sentry_2,21,1,2000,ALIENS_SENTRY_GUN,ALIENS_SENTRY_GUN_DESC_2,alien_icon_laststand,alien_dpad_icon_sentry_2,1,ALIENS_CATEGORY_STRIKE_PACKAGE
318,dpad_sentry_3,21,2,2000,ALIENS_SENTRY_GUN,ALIENS_SENTRY_GUN_DESC_3,alien_icon_laststand,alien_dpad_icon_sentry_3,1,ALIENS_CATEGORY_STRIKE_PACKAGE
