a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,perk_bullet_damage,0,0,ALIENS_PERK_BULLET_DAMAGE,ALIENS_PERK_BULLET_DAMAGE_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,weapon_specialist_upgrade,,,,,,,,,
1,perk_bullet_damage_1,0,1,ALIENS_PERK_BULLET_DAMAGE_1,ALIENS_PERK_BULLET_DAMAGE_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,weapon_specialist_upgrade,,,,,,,,,
2,perk_bullet_damage_2,0,1,ALIENS_PERK_BULLET_DAMAGE_2,ALIENS_PERK_BULLET_DAMAGE_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,weapon_specialist_upgrade,,,,,,,,,
3,perk_bullet_damage_3,0,2,ALIENS_PERK_BULLET_DAMAGE_3,ALIENS_PERK_BULLET_DAMAGE_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,weapon_specialist_upgrade,,,,,,,,,
4,perk_bullet_damage_4,0,3,ALIENS_PERK_BULLET_DAMAGE_4,ALIENS_PERK_BULLET_DAMAGE_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,weapon_specialist_upgrade,,,,,,,,,
5,perk_health,0,0,ALIENS_PERK_HEALTH,ALIENS_PERK_HEALTH_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,tank_upgrade,,,,,,,,,
6,perk_health_1,0,1,ALIENS_PERK_HEALTH,ALIENS_PERK_HEALTH_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,tank_upgrade,,,,,,,,,
7,perk_health_2,0,1,ALIENS_PERK_HEALTH,ALIENS_PERK_HEALTH_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,tank_upgrade,,,,,,,,,
8,perk_health_3,0,2,ALIENS_PERK_HEALTH,ALIENS_PERK_HEALTH_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,tank_upgrade,,,,,,,,,
9,perk_health_4,0,3,ALIENS_PERK_HEALTH,ALIENS_PERK_HEALTH_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,tank_upgrade,,,,,,,,,
10,perk_rigger,0,0,ALIENS_PERK_RIGGER,ALIENS_PERK_RIGGER_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,engineer_upgrade,,,,,,,,,
11,perk_rigger_1,0,1,ALIENS_PERK_RIGGER,ALIENS_PERK_RIGGER_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,engineer_upgrade,,,,,,,,,
12,perk_rigger_2,0,1,ALIENS_PERK_RIGGER,ALIENS_PERK_RIGGER_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,engineer_upgrade,,,,,,,,,
13,perk_rigger_3,0,2,ALIENS_PERK_RIGGER,ALIENS_PERK_RIGGER_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,engineer_upgrade,,,,,,,,,
14,perk_rigger_4,0,3,ALIENS_PERK_RIGGER,ALIENS_PERK_RIGGER_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,engineer_upgrade,,,,,,,,,
15,perk_medic,0,1,ALIENS_PERK_MEDIC,ALIENS_PERK_MEDIC_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,medic_upgrade,,,,,,,,,
16,perk_medic_1,0,1,ALIENS_PERK_MEDIC,ALIENS_PERK_MEDIC_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,medic_upgrade,,,,,,,,,
17,perk_medic_2,0,1,ALIENS_PERK_MEDIC,ALIENS_PERK_MEDIC_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,medic_upgrade,,,,,,,,,
18,perk_medic_3,0,2,ALIENS_PERK_MEDIC,ALIENS_PERK_MEDIC_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,medic_upgrade,,,,,,,,,
19,perk_medic_4,0,3,ALIENS_PERK_MEDIC,ALIENS_PERK_MEDIC_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,medic_upgrade,,,,,,,,,
20,perk_robotics,0,0,CP_LOADOUT_PERK_ROBOTICS,CP_LOADOUT_PERK_ROBOTICS_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,,,,,,,,,,
21,perk_robotics_1,0,1,CP_LOADOUT_PERK_ROBOTICS,CP_LOADOUT_PERK_ROBOTICS_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
22,perk_robotics_2,0,1,CP_LOADOUT_PERK_ROBOTICS,CP_LOADOUT_PERK_ROBOTICS_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
23,perk_robotics_3,0,2,CP_LOADOUT_PERK_ROBOTICS,CP_LOADOUT_PERK_ROBOTICS_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
24,perk_robotics_4,0,3,CP_LOADOUT_PERK_ROBOTICS,CP_LOADOUT_PERK_ROBOTICS_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
25,perk_demolition,0,0,CP_LOADOUT_PERK_DEMOLITION,CP_LOADOUT_PERK_DEMOLITION_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,,,,,,,,,,
26,perk_demolition_1,0,1,CP_LOADOUT_PERK_DEMOLITION,CP_LOADOUT_PERK_DEMOLITION_DESC_1,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
27,perk_demolition_2,0,1,CP_LOADOUT_PERK_DEMOLITION,CP_LOADOUT_PERK_DEMOLITION_DESC_2,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
28,perk_demolition_3,0,2,CP_LOADOUT_PERK_DEMOLITION,CP_LOADOUT_PERK_DEMOLITION_DESC_3,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
29,perk_demolition_4,0,3,CP_LOADOUT_PERK_DEMOLITION,CP_LOADOUT_PERK_DEMOLITION_DESC_4,alien_icon_laststand,1,ALIENS_CATEGORY_CLASS,,,,,,,,,,
30,perk_gunslinger,0,0,CP_LOADOUT_PERK_GUNSLINGER,CP_LOADOUT_PERK_GUNSLINGER_DESC,alien_icon_laststand,0,ALIENS_CATEGORY_CLASS,,,,,,,,,,
