a0,b1
1,ALIEN_COLLECTIBLES_DRILL_PROTECT
2,ALIEN_COLLECTIBLES_TEAMWORK
3,ALIEN_COLLECTIBLES_PERSONAL_SKILL
4,ALIEN_COLLECTIBLES_CHALLENGE_COMP
5,ALIEN_COLLECTIBLES_PRESTIGE_BONUS
6,ALIEN_COLLECTIBLES_HIVE_SCORE_EARNED
7,ALIEN_COLLECTIBLES_BONUS_MONEY_EARNED
8,ALIEN_COLLECTIBLES_TOTAL_HIVE_SCORE
9,ALIEN_COLLECTIBLES_ESCAPE_TIME_BONUS
10,CP_GLOBAL_SCORE_TOTAL_END_GAME
11,ALIEN_PICKUPS_ARMORY_SPIDER_SCORE
12,ALIEN_PICKUPS_ARMORY_EOG_SPIDER_SCORE
14,MP_ALIEN_BEACON_EOG_ITEM_CRAFTING
15,MP_ALIEN_BEACON_EOG_SIDE_AREA
16,MP_ALIEN_BEACON_GAS_PROTECTION
17,MP_ALIEN_BEACON_EOG_KRAKEN
18,MP_ALIEN_BEACON_TENTACLE_BONUS
19,MP_ALIEN_DESCENT_SCORE_EOG_OBELISK
20,MP_ALIEN_DESCENT_SCORE_EOG_GRYPHON
21,MP_ALIEN_DESCENT_SCORE_GRYPHON
22,MP_ALIEN_DESCENT_SCORE_EOG_ARK
23,MP_ALIEN_DESCENT_SCORE_CORTEX_ACTIVATION
24,CP_BASE_BUILDING_SCORE_EOG_BUILDING
25,CP_BASE_BUILDING_SCORE_EOG_DAMAGE
26,CP_BASE_BUILDING_SCORE_EOG_DEPLOY
27,CP_SHIP_ASSAULT_SCORE_EOG_JACKAL
28,CP_SHIP_ASSAULT_SCORE_EOG_DAMAGE
29,CP_ZOMBIE_SCORE_EOG_DAMAGE
30,CP_ZOMBIE_SCORE_EOG_MONEY_EARNED
31,CP_ZOMBIE_SCORE_EOG_TICKETS_EARNED
32,CP_ZOMBIE_SCORE_EOG_CONSUMABLES_EARNED
