a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,,,,,,,,,,
maxprestige,15,,,,,,,,,,,,,,,,,,,,
prestigediscount,10,,,,,,,,,,,,,,,,,,,,
0,zm_icon_rank_1,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
1,zm_icon_rank_1,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
2,zm_icon_rank_1,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
3,zm_icon_rank_2,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
4,zm_icon_rank_2,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
5,zm_icon_rank_3,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
6,zm_icon_rank_3,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
7,zm_icon_rank_4,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
8,zm_icon_rank_4,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
9,zm_icon_rank_5,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
10,zm_icon_rank_5,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
11,zm_icon_rank_6,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
12,zm_icon_rank_6,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
13,zm_icon_rank_7,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
14,zm_icon_rank_7,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
15,zm_icon_rank_8,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
16,zm_icon_rank_8,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
17,zm_icon_rank_9,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
18,zm_icon_rank_9,zm_icon_rank_prestige_1,zm_icon_rank_prestige_2,zm_icon_rank_prestige_3,zm_icon_rank_prestige_4,zm_icon_rank_prestige_5,zm_icon_rank_prestige_6,zm_icon_rank_prestige_7,zm_icon_rank_prestige_8,zm_icon_rank_prestige_9,zm_icon_rank_prestige_10,zm_icon_rank_prestige_11,zm_icon_rank_prestige_12,zm_icon_rank_prestige_13,zm_icon_rank_prestige_14,zm_icon_rank_prestige_15,zm_icon_rank_prestige_16,zm_icon_rank_prestige_17,zm_icon_rank_prestige_18,zm_icon_rank_prestige_19,zm_icon_rank_prestige_20
