a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
maxrank,998,,,,,,,,,,,,,,,,,,
0,pvt1,0,3299,RANK_PVT,RANK_PVT_FULL,icon_alien_rank_pvt1,3299,ranked_up_1,,,,,,1,1,,RANK_PVT_FULL,,0
1,pvt2,3299,10445,RANK_PVT,RANK_PVT_FULL2,icon_alien_rank_pvt1,13744,ranked_up_2,,,,,,2,2,,RANK_PVT_FULL_N,,0
2,pvt3,13744,15516,RANK_PVT,RANK_PVT_FULL3,icon_alien_rank_pvt1,29260,ranked_up_3,,,,,,3,3,,RANK_PVT_FULL_N,,0
3,pfc1,29260,19449,RANK_PFC,RANK_PFC_FULL,icon_alien_rank_pfc1,48709,ranked_up_4,,,,,,4,4,,RANK_PFC_FULL,,0
4,pfc2,48709,22663,RANK_PFC,RANK_PFC_FULL2,icon_alien_rank_pfc1,71372,ranked_up_5,,,,,,5,5,,RANK_PFC_FULL_N,,0
5,spc1,71372,25380,RANK_PFC,RANK_PFC_FULL3,icon_alien_rank_spc1,96752,ranked_up_6,,,,,,6,6,,RANK_PFC_FULL_N,,0
6,spc2,96752,27734,RANK_SPC,RANK_SPC_FULL,icon_alien_rank_spc1,124486,ranked_up_7,,,,,,7,7,,RANK_SPC_FULL,,0
7,cpl1,124486,29810,RANK_SPC,RANK_SPC_FULL2,icon_alien_rank_cpl1,154296,ranked_up_8,,,,,,8,8,,RANK_SPC_FULL_N,,0
8,cpl2,154295,31667,RANK_SPC,RANK_SPC_FULL3,icon_alien_rank_cpl1,185962,ranked_up_9,,,,,,9,9,,RANK_SPC_FULL_N,,0
9,sgt1,185962,33347,RANK_CPL,RANK_CPL_FULL,icon_alien_rank_sgt1,219309,ranked_up_10,,,,,,10,10,,RANK_CPL_FULL,,0
10,sgt2,219308,34880,RANK_CPL,RANK_CPL_FULL2,icon_alien_rank_sgt1,254188,ranked_up_11,,,,,,11,11,,RANK_CPL_FULL_N,,0
11,ssgt1,254189,36291,RANK_CPL,RANK_CPL_FULL3,icon_alien_rank_ssgt1,290480,ranked_up_12,,,,,,12,12,,RANK_CPL_FULL_N,,0
