a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,t20
0,,barrel,,arcane_base,arcane_base,,,,,,,,,,,,,,,
1,,barrel,,arcane_base_akimbo,arcane_base,,,,,,,,,,,,,,,
2,,barrel,,arcane_base_sm,arcane_base,,,,,,,,,,,,,,,
3,,barrel,,arkblue,arkblue,,,,,,,,,,,,,,,
4,,barrel,,arkblue_akimbo,arkblue,,,,,,,,,,,,,,,
5,,barrel,,arkblue_sm,arkblue,,,,,,,,,,,,,,,
6,,barrel,,arkgreen,arkgreen,,,,,,,,,,,,,,,
7,,barrel,,arkgreen_akimbo,arkgreen,,,,,,,,,,,,,,,
8,,barrel,,arkgreen_sm,arkgreen,,,,,,,,,,,,,,,
9,,barrel,,arkpink,arkpink,,,,,,,,,,,,,,,
10,,barrel,,arkpink_akimbo,arkpink,,,,,,,,,,,,,,,
11,,barrel,,arkpink_sm,arkpink,,,,,,,,,,,,,,,
12,,barrel,,arkred,arkred,,,,,,,,,,,,,,,
13,,barrel,,arkred_akimbo,arkred,,,,,,,,,,,,,,,
14,,barrel,,arkred_sm,arkred,,,,,,,,,,,,,,,
15,,barrel,,arkyellow,arkyellow,,,,,,,,,,,,,,,
16,,barrel,,arkyellow_akimbo,arkyellow,,,,,,,,,,,,,,,
17,,barrel,,arkyellow_sm,arkyellow,,,,,,,,,,,,,,,
18,,pap,,acrpap1,pap1,,,,,,,,,,,,,,,
19,,pap,,acrpap2,pap2,,,,,,,,,,,,,,,
20,,pap,,akepap1,pap1,,,,,,,,,,,,,,,
21,,pap,,akepap2,pap2,,,,,,,,,,,,,,,
22,,pap,,amelipap1,pap1,,,,,,,,,,,,,,,
23,,pap,,amelipap2,pap2,,,,,,,,,,,,,,,
24,,pap,,ar57pap1,pap1,,,,,,,,,,,,,,,
25,,pap,,ar57pap2,pap2,,,,,,,,,,,,,,,
26,,pap,,axepap1,pap1,,,,,,,,,,,,,,,
27,,pap,,axepap2,pap2,,,,,,,,,,,,,,,
28,,pap,,bhpap1,pap1,,,,,,,,,,,,,,,
29,,pap,,bhpap2,pap2,,,,,,,,,,,,,,,
30,,pap,,cheytacpap1,pap1,,,,,,,,,,,,,,,
31,,pap,,cheytacpap2,pap2,,,,,,,,,,,,,,,
32,,pap,,crbpap1,pap1,,,,,,,,,,,,,,,
33,,pap,,crbpap2,pap2,,,,,,,,,,,,,,,
34,,pap,,cspap1,pap1,,,,,,,,,,,,,,,
35,,pap,,cspap2,pap2,,,,,,,,,,,,,,,
36,,pap,,devpap1,pap1,,,,,,,,,,,,,,,
37,,pap,,devpap2,pap2,,,,,,,,,,,,,,,
38,,pap,,dischordpap1,pap1,,,,,,,,,,,,,,,
39,,pap,,dischordpap2,pap2,,,,,,,,,,,,,,,
40,,pap,,emcpap1,pap1,,,,,,,,,,,,,,,
41,,pap,,emcpap2,pap2,,,,,,,,,,,,,,,
42,,pap,,eradpap1,pap1,,,,,,,,,,,,,,,
43,,pap,,eradpap2,pap2,,,,,,,,,,,,,,,
44,,pap,,fhrpap1,pap1,,,,,,,,,,,,,,,
45,,pap,,fhrpap2,pap2,,,,,,,,,,,,,,,
46,,pap,,fmgpap1,pap1,,,,,,,,,,,,,,,
47,,pap,,fmgpap2,pap2,,,,,,,,,,,,,,,
