a0,,b1,c2,d3,
1,,kill_generic_zombie,5 10 10 10 5 5 5 5 1,cash_2 kill_50 instakill_30 ammo_max board_windows infinite_20 fire_30 grenade_30 upgrade_weapons,
2,,kill_traversal_zombie,5 10 10 10 5 5 5 5 1,cash_2 kill_50 instakill_30 ammo_max board_windows infinite_20 fire_30 grenade_30 upgrade_weapons,
3,,kill_player,1,power_off,
101,1,kill_50,vfx/iw7/core/zombie/powerups/vfx_zom_powerup_nuke.vfx,zm_powerup_nuke,ZOMBIE_POWERUPS_NUKE
102,2,cash_2,vfx/iw7/core/zombie/powerups/vfx_zd_powerup_money.vfx,zm_powerup_double_cash,ZOMBIE_POWERUPS_DOUBLE_CASH
103,3,instakill_30,vfx/iw7/core/zombie/powerups/vfx_zd_powerup_instakill.vfx,zm_powerup_instakill,ZOMBIE_POWERUPS_INSTAKILL
104,4,ammo_max,vfx/iw7/core/zombie/powerups/vfx_zom_powerup_maxammo_new.vfx,zm_powerup_max_ammo,ZOMBIE_POWERUPS_MAXAMMO
105,5,board_windows,vfx/iw7/core/zombie/powerups/vfx_zom_powerup_carpenter.vfx,zm_powerup_window_board,ZOMBIE_POWERUPS_CARPENTER
106,6,upgrade_weapons,vfx/iw7/core/zombie/powerups/vfx_zom_powerup_upgrade.vfx,zm_powerup_weapon_upgrade,ZOMBIE_POWERUPS_WEAPON_UPGRADE
107,7,infinite_20,vfx/iw7/core/zombie/powerups/vfx_zd_powerup_infiniteammo.vfx,zm_powerup_infinite_ammo,ZOMBIE_POWERUPS_INFINITE_AMMO
108,8,grenade_30,vfx/iw7/core/zombie/powerups/vfx_zd_powerup_infinitegrenades.vfx,zm_powerup_infinite_grenades,ZOMBIE_POWERUPS_INFINITE_GRENADES
109,9,fire_30,vfx/iw7/core/zombie/powerups/vfx_zd_powerup_firesale.vfx,zm_powerup_fire_sale,ZOMBIE_POWERUPS_FIRE_SALE
