background,1,1,emblem_bg_default,EM_BG_DEFAULT,0,0,0,0,general,,,
icon,0,0,em_icon_weapon_ake_mpl,MP_EMBLEM_EDITOR_WEAPON_VOLK,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,1,1,em_icon_weapon_ar57_mp,MP_EMBLEM_EDITOR_WEAPON_KBAR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,2,2,em_icon_weapon_m4_mp,MP_EMBLEM_EDITOR_WEAPON_NV4,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,3,3,em_icon_weapon_fmg_mp,MP_EMBLEM_EDITOR_WEAPON_TYPE_2,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,4,4,em_icon_weapon_sdfar_mp,MP_EMBLEM_EDITOR_WEAPON_R3K,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,5,5,em_icon_weapon_erad_mp,MP_EMBLEM_EDITOR_WEAPON_ERAD,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,6,6,em_icon_weapon_fhr_mp,MP_EMBLEM_EDITOR_WEAPON_FHR-40,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,7,7,em_icon_weapon_crb_mpl,MP_EMBLEM_EDITOR_WEAPON_KARMA-45,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,8,8,em_icon_weapon_ripper_mpr,MP_EMBLEM_EDITOR_WEAPON_RPR_EVO,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,9,9,em_icon_weapon_ump45_mpl,MP_EMBLEM_EDITOR_WEAPON_HVR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,10,10,em_icon_weapon_sdflmg_mp,MP_EMBLEM_EDITOR_WEAPON_RAW,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,11,11,em_icon_weapon_mauler_mp,MP_EMBLEM_EDITOR_WEAPON_MAULER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,12,12,em_icon_weapon_lmg03_mp,MP_EMBLEM_EDITOR_WEAPON_TITAN,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,13,13,em_icon_weapon_kbs_mp,MP_EMBLEM_EDITOR_WEAPON_KBS_LONGBOW,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,14,14,em_icon_weapon_m8_mp,MP_EMBLEM_EDITOR_WEAPON_EBR-800,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,15,15,em_icon_weapon_cheytac_mp,MP_EMBLEM_EDITOR_WEAPON_WIDOWMAKER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,16,16,em_icon_weapon_m1_mp,MP_EMBLEM_EDITOR_WEAPON_DMR-1,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,17,17,em_icon_weapon_devastator_mp,MP_EMBLEM_EDITOR_WEAPON_REAVER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,18,18,em_icon_weapon_sonic_mpr,MP_EMBLEM_EDITOR_WEAPON_BANSHEE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,19,19,em_icon_weapon_sdfshotty_mp,MP_EMBLEM_EDITOR_WEAPON_DCM-8,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,20,20,em_icon_weapon_spas_mp,MP_EMBLEM_EDITOR_WEAPON_RACK-9,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,21,21,em_icon_weapon_arclassic_mp,MP_EMBLEM_EDITOR_WEAPON_OSA,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,22,22,em_icon_weapon_ump45c_mp,MP_EMBLEM_EDITOR_WEAPON_MACTAV-45,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,23,23,em_icon_weapon_cheytacc_mp,MP_EMBLEM_EDITOR_WEAPON_TF-141,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,24,24,em_icon_weapon_spasc_mp,MP_EMBLEM_EDITOR_WEAPON_S-RAVAGE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,25,25,em_icon_weapon_m1c_mp,MP_EMBLEM_EDITOR_WEAPON_M1,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,26,26,em_icon_weapon_chargeshot_mp,MP_EMBLEM_EDITOR_WEAPON_PDW,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,27,27,em_icon_weapon_lockon_mp,MP_EMBLEM_EDITOR_WEAPON_SPARTAN_SA3,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,28,28,em_icon_weapon_glprox_mp,MP_EMBLEM_EDITOR_WEAPON_HOWITZER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,29,29,em_icon_weapon_emc_mp,MP_EMBLEM_EDITOR_WEAPON_EMC,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,30,30,em_icon_weapon_nrg_mp,MP_EMBLEM_EDITOR_WEAPON_ONI,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,31,31,em_icon_weapon_g18_mp,MP_EMBLEM_EDITOR_WEAPON_KENDALL_44,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,32,32,em_icon_weapon_revolver_mp,MP_EMBLEM_EDITOR_WEAPON_HAILSTORM,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,33,33,em_icon_weapon_g18c_mp,MP_EMBLEM_EDITOR_WEAPON_HORNET,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,34,34,em_icon_weapon_knife_mp,MP_EMBLEM_EDITOR_WEAPON_COMBAT_KNIFE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,35,35,em_icon_lethal_biospike,MP_EMBLEM_EDITOR_WEAPON_INFECTED,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,36,36,em_icon_lethal_blackhole,MP_EMBLEM_EDITOR_WEAPON_BLACK_HOLE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,37,37,em_icon_lethal_cluster,MP_EMBLEM_EDITOR_WEAPON_CLUSTER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_WEAPONS,general,0.35,TRUE
icon,38,38,em_icon_weapon_ake_mpl,MP_EMBLEM_EDITOR_ICON_AR_STAR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,FALSE
icon,39,39,em_icon_bandage,MP_EMBLEM_EDITOR_ICON_BANDAGE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,40,40,em_icon_boltcutter,MP_EMBLEM_EDITOR_ICON_BOLTCUTTER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,41,41,em_icon_broom,MP_EMBLEM_EDITOR_ICON_BROOM,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,42,42,em_icon_car,MP_EMBLEM_EDITOR_ICON_CAR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,43,43,em_icon_cleaver,MP_EMBLEM_EDITOR_ICON_CLEAVER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,44,44,em_icon_crosshair,MP_EMBLEM_EDITOR_ICON_CROSSHAIR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,45,45,em_icon_ctf_crush_victory,MP_EMBLEM_EDITOR_ICON_VICTORY,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,46,46,em_icon_dem_bomb,MP_EMBLEM_EDITOR_ICON_BOMB,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,47,47,em_icon_dem_bomb_protector,MP_EMBLEM_EDITOR_ICON_BOMB_PROTECTOR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,48,48,em_icon_dem_crush_victory,MP_EMBLEM_EDITOR_ICON_VICTORY_BOX,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,49,49,em_icon_dem_interruption,MP_EMBLEM_EDITOR_ICON_INTERRUPTION,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,50,50,em_icon_dem_synch_attack,MP_EMBLEM_EDITOR_ICON_EXPLOSION,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,51,51,em_icon_dom_alpha_lockdown,MP_EMBLEM_EDITOR_ICON_ALPHA_LOCKDOWN,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,52,52,em_icon_dom_bravo_hot,MP_EMBLEM_EDITOR_ICON_BRAVO_HOT,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,53,53,em_icon_dom_bravo_lockdown,MP_EMBLEM_EDITOR_ICON_BRAVO_LOCKDOWN,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,54,54,em_icon_dom_charlie_lockdown,MP_EMBLEM_EDITOR_ICON_CHARLIE_LOCKDOWN,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,55,55,em_icon_dom_crush_victory,MP_EMBLEM_EDITOR_ICON_CRUSHING_VICTORY,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,56,56,em_icon_dom_double_denied,MP_EMBLEM_EDITOR_ICON_DOUBLE_DENIED,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,57,57,em_icon_explode,MP_EMBLEM_EDITOR_ICON_EXPLODE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,58,58,em_icon_feather_duster,MP_EMBLEM_EDITOR_ICON_FEATHER_DUSTER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,59,59,em_icon_ffa_crush_victory,MP_EMBLEM_EDITOR_ICON_SOLDIER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,60,60,em_icon_ffa_hard_to_kill,MP_EMBLEM_EDITOR_ICON_BULLET,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,61,61,em_icon_ffa_invincible,MP_EMBLEM_EDITOR_ICON_CANNON,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,62,62,em_icon_ffa_just_a_gun,MP_EMBLEM_EDITOR_ICON_HAND_GUN,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,63,63,em_icon_ffa_unstoppable,MP_EMBLEM_EDITOR_ICON_ROCKET,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,64,64,em_icon_gold,MP_EMBLEM_EDITOR_ICON_GOLD,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,65,65,em_icon_grim_reaper,MP_EMBLEM_EDITOR_ICON_GRIM_REAPER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,66,66,em_icon_hacker_tool,MP_EMBLEM_EDITOR_ICON_HACKER_TOOL,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,67,67,em_icon_ha_ha,MP_EMBLEM_EDITOR_ICON_LAUGHTER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,68,68,em_icon_hq_crush_victory,MP_EMBLEM_EDITOR_ICON_SUPPLY_DROP,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,69,69,em_icon_hq_final_defense,MP_EMBLEM_EDITOR_ICON_FINAL_DEFENSE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,70,70,em_icon_kc_clean_sweep,MP_EMBLEM_EDITOR_ICON_TWO_DOG_TAGS,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,71,71,em_icon_kc_got_mine,MP_EMBLEM_EDITOR_ICON_DOG_TAG,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,72,72,em_icon_koth_annihilation_victory,MP_EMBLEM_EDITOR_ICON_ZIG_ZAG,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,73,73,em_icon_koth_crush_victory,MP_EMBLEM_EDITOR_ICON_DEFEAT,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,74,74,em_icon_koth_point_man,MP_EMBLEM_EDITOR_ICON_ARROW,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,75,75,em_icon_koth_shutout,MP_EMBLEM_EDITOR_ICON_FIST,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,76,76,em_icon_ladder,MP_EMBLEM_EDITOR_ICON_LADDER,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,77,77,em_icon_lizard,MP_EMBLEM_EDITOR_ICON_LIZARD,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,78,78,em_icon_weapon_ake_mpl,MP_EMBLEM_EDITOR_ICON_LMG_STAR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,FALSE
icon,79,79,em_icon_ninja_mask,MP_EMBLEM_EDITOR_ICON_NINJA_MASK,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,80,80,em_icon_old_gun,MP_EMBLEM_EDITOR_ICON_PISTOL,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,81,81,em_icon_phone,MP_EMBLEM_EDITOR_ICON_PHONE,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
icon,82,82,em_icon_weapon_ake_mpl,MP_EMBLEM_EDITOR_ICON_PISTOL_STAR,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,FALSE
icon,83,83,em_icon_plus_sign,MP_EMBLEM_EDITOR_ICON_PLUS_SIGN,0,0,0,0,MP_EMBLEM_EDITOR_DECAL_TAB_ICONS,general,0.35,TRUE
