featured,LUA_MENU_MP_FEATURED,CRM,1,,,,,,
currency,LUA_MENU_MP_COD_POINTS,NORMAL,1,silvervc,ironvc,bronzevc,goldvc,platinumvc,diamondvc
vip_pass,LUA_MENU_MP_DAILY_LOGIN_SEASON_PASS,NORMAL,1,vip,,,,,
ps4_map_packs,LUA_MENU_MP_MAPPACKS,PSN,1,mappack4,mappack3,mappack2,mappack1,,
xb1_map_packs,LUA_MENU_MP_MAPPACKS,XBL,1,mappack4,mappack3,mappack2,mappack1,,
online_ps4_map_packs,LUA_MENU_MP_MAPPACKS,PSN-ONLINE,1,mappack4,mappack3,mappack2,mappack1,,
online_xb1_map_packs,LUA_MENU_MP_MAPPACKS,XBL-ONLINE,1,mappack4,mappack3,mappack2,mappack1,,
ps4_announcers,LUA_MENU_MP_ANNOUNCERS,PSN,1,announcer_bundle,announcer2,announcer5,announcer4,announcer1,announcer3
xb1_announcers,LUA_MENU_MP_ANNOUNCERS,XBL,1,announcer_bundle,announcer2,announcer5,announcer4,announcer1,announcer3
steam_announcers,LUA_MENU_MP_ANNOUNCERS,STEAM,1,announcer_bundle_pc,announcer2,announcer5,announcer4,announcer1,announcer3
uwp_announcers,LUA_MENU_MP_ANNOUNCERS,UWP,1,announcer_bundle,announcer2,announcer5,announcer4,announcer1,announcer3
online_ps4_announcers,LUA_MENU_MP_ANNOUNCERS,PSN-ONLINE,1,announcer_bundle,announcer2,announcer5,announcer4,announcer1,announcer3
online_xb1_announcers,LUA_MENU_MP_ANNOUNCERS,XBL-ONLINE,1,announcer_bundle,announcer2,announcer5,announcer4,announcer1,announcer3
online_steam_announcers,LUA_MENU_MP_ANNOUNCERS,STEAM-ONLINE,1,announcer_bundle_pc,announcer2,announcer5,announcer4,announcer1,announcer3
online_uwp_announcers,LUA_MENU_MP_ANNOUNCERS,UWP-ONLINE,1,announcer_bundle,announcer2,announcer5,announcer4,announcer1,announcer3
ps4_misc,LUA_MENU_MP_MISC,PSN,1,code,s2offer,,,,
xb1_misc,LUA_MENU_MP_MISC,XBL,1,code,s2offer,,,,
steam_misc,LUA_MENU_MP_MISC,STEAM,1,code,,,,,
uwp_misc,LUA_MENU_MP_MISC,UWP,1,code,,,,,
online_ps4_misc,LUA_MENU_MP_MISC,PSN-ONLINE,1,code,s2offer,,,,
online_xb1_misc,LUA_MENU_MP_MISC,XBL-ONLINE,1,code,s2offer,,,,
online_steam_misc,LUA_MENU_MP_MISC,STEAM-ONLINE,1,code,,,,,
online_uwp_misc,LUA_MENU_MP_MISC,UWP-ONLINE,1,code,,,,,
online_ps4_cwl,LUA_MENU_MP_CWL,PSN-ONLINE,0,cwl2,cwl,,,,
online_xb1_cwl,LUA_MENU_MP_CWL,XBL-ONLINE,0,cwl2,cwl,,,,
online_steam_cwl,LUA_MENU_MP_CWL,STEAM-ONLINE,0,cwl2,cwl,,,,
online_uwp_cwl,LUA_MENU_MP_CWL,UWP-ONLINE,0,cwl2,cwl,,,,
preorder_psn,LUA_MENU_MP_PREORDER_2,PSN,1,bo4digitalplus,bo4digitalpluseu,bo4deluxe,bo4deluxeeu,bo4,bo4eu
preorder_xbl,LUA_MENU_MP_PREORDER_2,XBL,1,bo4digitalplus,bo4deluxe,bo4,,,
online_preorder_psn,LUA_MENU_MP_PREORDER_2,PSN-ONLINE,1,bo4digitalplus,bo4digitalpluseu,bo4deluxe,bo4deluxeeu,bo4,bo4eu
online_preorder_xbl,LUA_MENU_MP_PREORDER_2,XBL-ONLINE,1,bo4digitalplus,bo4deluxe,bo4,,,
