a0,b1
mapname,mp_chasm
mapname,mp_dart
mapname,mp_fahrenheit
mapname,mp_flooded
mapname,mp_frag
mapname,mp_hashima
mapname,mp_lonestar
mapname,mp_prisonbreak
mapname,mp_skeleton
mapname,mp_snow
mapname,mp_sovereign
mapname,mp_strikezone
mapname,mp_warhawk
mapname,mp_zebra
squadname,Alpha
squadname,Bravo
squadname,Charlie
squadname,Delta
squadname,Echo
squadname,Foxtrot
squadname,Golf
squadname,Hotel
squadname,India
squadname,Juliet
squadname,Kilo
squadname,Lima
squadname,Mike
squadname,November
squadname,Oscar
squadname,Papa
squadname,Quebec
squadname,Romeo
squadname,Sierra
squadname,Tango
squadname,Victor
squadname,Whiskey
squadname,X Ray
squadname,Zulu
