-1,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,ac28,ad29,ae30,af31,ag32,ah33,ai34,aj35,ak36,al37,am38,an39,ao40,ap41,aq42,ar43,as44,at45,au46,av47,aw48,ax49,AY50,az51
1,weapon_pistol,weapon_pistol,WEAPON_NRG,iw7_nrg,iw7_nrg_mp,render_weapon_slot_nrg_mp,PERKS_PISTOL_NRG,0.98,,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,reflect,xmagse,highcal,akimbo,,,,,,,,,50,40,46,61,80,,,weapon_profile_p226_f,assault|scout|assassin|engineer,run_and_gun|cqb|camper,regular|hardened,2,11,1,,full_auto_fire_mode,,4,1,,0.98,
2,weapon_pistol,weapon_pistol,WEAPON_G18,iw7_g18,iw7_g18_mpr,render_weapon_slot_g18_mp,PERKS_PISTOL_G18,0.98,scope,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,fmj,xmags,highcal,akimbo,firetypeauto,,,,,,,,67,50,62,77,80,,,weapon_profile_p226_f,assault|scout|assassin|engineer,run_and_gun|cqb|camper,recruit|regular|hardened,3,12,1,,semi_auto_fire_mode,,2,1,,0.98,
3,weapon_pistol,weapon_pistol,WEAPON_EMC,iw7_emc,iw7_emc_mp,render_weapon_slot_emc_mp,PERKS_PISTOL_EMC,0.98,,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,reflect,xmagse,highcal,akimbo,firetypeauto,,,,,,,,60,60,58,70,80,,,weapon_profile_p226_f,assault|scout|assassin|engineer,run_and_gun|cqb|camper,recruit|regular|hardened,1,12,1,,semi_auto_fire_mode,,3,1,,0.98,
4,weapon_pistol,weapon_pistol,WEAPON_REVOLVER,iw7_revolver,iw7_revolver_mp,render_weapon_slot_revolver_mp,PERKS_PISTOL_REVOLVER,0.98,scope,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,fmj,highcal,akimbo,,,,,,,,,,72,66,56,76,80,,,weapon_profile_magnum_f,assault|scout|assassin|engineer,run_and_gun|cqb|camper,hardened|veteran,4,10,1,,burst_fire_mode_3_round,,1,1,,0.98,
5,weapon_pistol,weapon_pistol,WEAPON_UDM45,iw7_udm45,iw7_udm45_mp,render_weapon_slot_udm45_mp,PERKS_PISTOL_UDM45,0.98,scope,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,fmj,xmags,highcal,akimbo,,,,,,,,,68,63,68,65,80,,,weapon_profile_p226_f,assault|scout|assassin|engineer,run_and_gun|cqb|camper,hardened|veteran,5,11,1,,full_auto_fire_mode,,5,1,,0.98,1
6,weapon_pistol,weapon_pistol,WEAPON_MAG,iw7_mag,iw7_mag_mp,render_weapon_slot_mag_mp,PERKS_PISTOL_MAG,0.98,scope,reflex,phase,elo,hipaim,stock,fastaim,silencer,barrelrange,fmj,highcal,akimbo,,,,,,,,,,75,70,54,75,80,,,weapon_profile_magnum_f,assault|scout|assassin|engineer,run_and_gun|cqb|camper,hardened|veteran,6,10,1,,single_fire_mode,,6,1,,0.98,1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,weapon_smg,weapon_smg,WEAPON_ERAD,iw7_erad,iw7_erad_mp,render_weapon_slot_erad_mp,PERKS_SMG_ERAD,0.98,scope,hipaim,stock,fastaim,xmagse,reflect,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,72,48,55,84,80,,,weapon_profile_vepr_f,assault|scout|assassin|engineer,run_and_gun|cqb,recruit|regular|hardened,1,13,1,,full_auto_fire_mode,,1,1,,0.95,
9,weapon_smg,weapon_smg,WEAPON_CRB,iw7_crb,iw7_crb_mpl,render_weapon_slot_crb_mpl,PERKS_SMG_CRB,0.98,scope,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,68,42,59,81,80,,,weapon_profile_kriss_f,assault|scout|assassin|engineer,run_and_gun|cqb,regular|hardened|veteran,3,13,1,,full_auto_fire_mode,,4,1,,0.95,
10,weapon_smg,weapon_smg,WEAPON_RIPPER,iw7_ripper,iw7_ripper_mpr,render_weapon_slot_ripper_mpr,PERKS_SMG_RIPPER,0.98,scope arripper,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,70,53,53,91,80,,,weapon_profile_kriss_f,assault|scout|assassin|engineer,run_and_gun|cqb,regular|hardened,4,13,1,,full_auto_fire_mode,full_auto_fire_mode,3,1,,0.95,
11,weapon_smg,weapon_smg,WEAPON_UMP45,iw7_ump45,iw7_ump45_mpl,render_weapon_slot_ump45_mpl,PERKS_SMG_UMP45,0.98,scope,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,66,62,57,76,80,,,weapon_profile_kriss_f,assault|scout|assassin|engineer,run_and_gun|cqb,recruit|regular|hardened|veteran,5,13,1,,full_auto_fire_mode,,2,1,,0.95,
12,weapon_smg,weapon_smg,WEAPON_FHR,iw7_fhr,iw7_fhr_mp,render_weapon_slot_fhr_mp,PERKS_SMG_FHR,0.98,scope,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,40,58,49,97,80,,,weapon_profile_kriss_f,assault|scout|assassin|engineer,run_and_gun|cqb,hardened|veteran,2,13,1,,full_auto_fire_mode,,5,1,,0.95,
13,weapon_smg,weapon_smg,WEAPON_CRDB,iw7_crdb,iw7_crdb_mp,render_weapon_slot_crdb_mp,PERKS_SMG_CRDB,0.98,,hipaim,stock,fastaim,xmags,fmj,grip,silencer,barrelrange,reflex,acog,thermal,hybrid,phase,elo,,,,,,,60,50,52,87,80,,,weapon_profile_kriss_f,assault|scout|assassin|engineer,run_and_gun|cqb,hardened|veteran,6,13,1,,full_auto_fire_mode,,6,1,,0.95,1
