0,,none,ATTACHMENTS_NO_ATTACHMENT,none,none,icon_weapon_ph_primary_att1,ATTACHMENTS_NO_ATTACHMENT,,0,0,FALSE,,,0,0,0,0,0,,weapon_missing_image
1,,rail,ATTACHMENTS_ACOG_SCOPE,acog,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,rifle,,8,0,10,0,0,,attachment_icon_showcase_acog
2,,rail,ATTACHMENTS_ACOG_SCOPE,acogake,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,rifle,ake,8,0,10,0,0,,attachment_icon_showcase_acog
3,,rail,ATTACHMENTS_ACOG_SCOPE,acogake_gold,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm_gold,0,0,TRUE,rifle,ake_gold,8,0,10,0,0,,attachment_icon_showcase_acog
4,,rail,ATTACHMENTS_ACOG_SCOPE,acogsmg,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,smg,,8,0,10,0,0,,attachment_icon_showcase_acog
5,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogsmgnoalt,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,smg,ripper,erad,8,0,10,0,0,,attachment_icon_showcase_acog
6,,rail,ATTACHMENTS_ACOG_SCOPE,acogpistol,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,,,8,0,10,0,0,,attachment_icon_showcase_acog
7,,rail,ATTACHMENTS_ACOG_SCOPE,acoglmg,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_sniper_vm,0,0,TRUE,mg,,8,0,10,0,0,,attachment_icon_showcase_acog
8,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogarnoalt,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,rifle,fmg,8,0,10,0,0,,attachment_icon_showcase_acog
9,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogkbs,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,sniper,kbs,stasis,-14,0,-14,0,0,,attachment_icon_showcase_acog
10,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acogm8,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,sniper,m8,-14,0,-14,0,0,,attachment_icon_showcase_acog
11,,rail,ATTACHMENTS_ACOG_SCOPE,acogm4,acog,attachment_icon_slot_acog,ATTACHMENTS_ENHANCED_ZOOM_ACOG_SCOPE,attachment_acogdigital_vm,0,0,TRUE,rifle,m4,8,0,10,0,0,,attachment_icon_showcase_acog
12,,rail,ATTACHMENTS_ACOG_SCOPE_NO_ALT,acoglmgnoalt,acog,attachment_icon_slot_acog,ATTACHMENTS_ACOG_NO_ALT,attachment_acogdigital_sniper_vm,0,0,TRUE,mg,mauler,8,0,10,0,0,,attachment_icon_showcase_acog
13,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflex,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,rifle,,3,0,3,0,0,,attachment_icon_showcase_reflex
14,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexake,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,rifle,ake,3,0,3,0,0,,attachment_icon_showcase_reflex
15,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexake_gold,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm_gold,0,0,TRUE,rifle,ake_gold,3,0,3,0,0,,attachment_icon_showcase_reflex
16,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexfmg,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,rifle,fmg,3,0,3,0,0,,attachment_icon_showcase_reflex
17,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexshotgun,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,spread,,3,0,3,0,0,,attachment_icon_showcase_reflex
18,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexsmg,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,smg,,3,0,3,0,0,,attachment_icon_showcase_reflex
19,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexlmg,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,mg,,3,0,3,0,0,,attachment_icon_showcase_reflex
20,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexpstl,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,pistol,,3,0,3,0,0,,attachment_icon_showcase_reflex
21,,rail,ATTACHMENTS_RED_DOT_SIGHT,reflexnrg,reflex,attachment_icon_slot_reflex,ATTACHMENTS_REPLACE_THE_IRON_SIGHTS,reflex_base_vm,0,0,TRUE,pistol,nrg,3,0,3,0,0,,attachment_icon_showcase_reflex
22,,rail,ATTACHMENTS_PHASE_SIGHT,phase_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,rifle,,5,0,5,0,0,,attachment_icon_showcase_trojan
23,,rail,ATTACHMENTS_PHASE_SIGHT,phaseake_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,rifle,ake,5,0,5,0,0,,attachment_icon_showcase_trojan
24,,rail,ATTACHMENTS_PHASE_SIGHT,phaseake_spgold,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm_gold,0,0,TRUE,rifle,ake_gold,5,0,5,0,0,,attachment_icon_showcase_trojan
25,,rail,ATTACHMENTS_PHASE_SIGHT,phasefmg_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,rifle,fmg,5,0,5,0,0,,attachment_icon_showcase_trojan
26,,rail,ATTACHMENTS_PHASE_SIGHT,phaseshotgun_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,spread,,5,0,5,0,0,,attachment_icon_showcase_trojan
27,,rail,ATTACHMENTS_PHASE_SIGHT,phasesmg_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,smg,,5,0,5,0,0,,attachment_icon_showcase_trojan
28,,rail,ATTACHMENTS_PHASE_SIGHT,phaselmg_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,mg,,5,0,5,0,0,,attachment_icon_showcase_trojan
29,,rail,ATTACHMENTS_PHASE_SIGHT,phasepstl_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,pistol,,5,0,5,0,0,,attachment_icon_showcase_trojan
30,,rail,ATTACHMENTS_PHASE_SIGHT,phasenrg_sp,phase,attachment_icon_slot_trojan,ATTACHMENTS_DESC_PHASE_SIGHT,attachment_phasetracker_vm,0,0,TRUE,pistol,nrg,5,0,5,0,0,,attachment_icon_showcase_trojan
31,,rail,ATTACHMENTS_THERMAL,thermal,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,rifle,,7,0,14,0,0,,attachment_icon_showcase_thermal
32,,rail,ATTACHMENTS_THERMAL,thermalake,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,rifle,ake,7,0,14,0,0,,attachment_icon_showcase_thermal
33,,rail,ATTACHMENTS_THERMAL,thermalake_gold,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm_gold,0,0,FALSE,rifle,ake_gold,7,0,14,0,0,,attachment_icon_showcase_thermal
34,,rail,ATTACHMENTS_THERMAL,thermalfmg,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,rifle,fmg,7,0,14,0,0,,attachment_icon_showcase_thermal
35,,rail,ATTACHMENTS_THERMAL,thermalsmg,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,smg,,7,0,14,0,0,,attachment_icon_showcase_thermal
36,,rail,ATTACHMENTS_THERMAL,thermallmg,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,mg,,7,0,14,0,0,,attachment_icon_showcase_thermal
37,,rail,ATTACHMENTS_THERMAL,thermalkbs,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,sniper,kbs,stasis,7,0,14,0,0,,attachment_icon_showcase_thermal
38,,rail,ATTACHMENTS_THERMAL,thermalm8,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,sniper,m8,7,0,14,0,0,,attachment_icon_showcase_thermal
39,,rail,ATTACHMENTS_THERMAL,thermalm4,thermal,attachment_icon_slot_thermal,ATTACHMENTS_DESC_THERMAL,attachment_thermalhybrid_vm,0,0,FALSE,rifle,m4,7,0,14,0,0,,attachment_icon_showcase_thermal
40,,rail,ATTACHMENTS_HYBRID,hybrid,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,attachment_vmh_vm,0,0,TRUE,rifle,,6,0,10,0,0,,attachment_icon_showcase_vmh
41,,rail,ATTACHMENTS_HYBRID,hybridake,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,attachment_vmh_vm,0,0,TRUE,rifle,ake,6,0,10,0,0,,attachment_icon_showcase_vmh
42,,rail,ATTACHMENTS_HYBRID,hybridake_gold,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,attachment_vmh_vm_gold,0,0,TRUE,rifle,ake_gold,6,0,10,0,0,,attachment_icon_showcase_vmh
43,,rail,ATTACHMENTS_HYBRID,hybridarnoalt,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_HYBRID_NO_ALT,attachment_vmh_vm,0,0,TRUE,rifle,fmg,6,0,10,0,0,,attachment_icon_showcase_vmh
44,,rail,ATTACHMENTS_HYBRID,hybridsmg,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,attachment_vmh_vm,0,0,TRUE,smg,,6,0,10,0,0,,attachment_icon_showcase_vmh
45,,rail,ATTACHMENTS_HYBRID,hybridsmgnoalt,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_HYBRID_NO_ALT,attachment_vmh_vm,0,0,TRUE,smg,ripper,erad,6,0,10,0,0,,attachment_icon_showcase_vmh
46,,rail,ATTACHMENTS_HYBRID,hybridlmg,hybrid,attachment_icon_slot_vmh,ATTACHMENTS_DESC_HYBRID,attachment_vmh_vm,0,0,TRUE,mg,,6,0,10,0,0,,attachment_icon_showcase_vmh
47,,rail,ATTACHMENTS_ELO,elo,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,rifle,,3,0,0,0,0,,attachment_icon_showcase_elosight
48,,rail,ATTACHMENTS_ELO,eloake,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm,0,0,TRUE,rifle,ake,3,0,0,0,0,,attachment_icon_showcase_elosight
49,,rail,ATTACHMENTS_ELO,eloake_gold,elo,attachment_icon_slot_elosight,ATTACHMENTS_DESC_ELO,attachment_elosight_vm_gold,0,0,TRUE,rifle,ake_gold,3,0,0,0,0,,attachment_icon_showcase_elosight
